timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2],reset_integral
630566467,-0.05330285,0.056585528,5.9357026e-05,0.0,0.0,-0.001,0
630571526,-0.053241916,0.056494597,0.000337039,0.0,0.0,-0.001,0
630576460,-0.05303062,0.056641314,0.00016783968,0.0,0.0,-0.001,0
630581466,-0.0528562,0.056716062,0.0002525309,0.0,0.0,-0.001,0
630586522,-0.05272984,0.05677159,-0.0005539304,0.0,0.0,-0.001,0
630591453,-0.052925676,0.056714065,-0.0012862381,0.0,0.0,-0.001,0
630596462,-0.053078815,0.05675343,-0.0012498334,0.0,0.0,-0.001,0
630601521,-0.053019743,0.056560885,-0.002503118,0.0,0.0,-0.001,0
630606471,-0.05290025,0.056522537,-0.001104268,0.0,0.0,-0.001,0
630611473,-0.052807048,0.056470267,-0.0011873543,0.0,0.0,-0.001,0
630616505,-0.052725643,0.05650667,0.00051562564,0.0,0.0,-0.001,0
630621465,-0.05288111,0.05662636,0.0012717926,0.0,0.0,-0.001,0
630626458,-0.052933563,0.056731295,0.0005719734,0.0,0.0,-0.001,0
630631512,-0.052841555,0.056764636,0.0012310143,0.0,0.0,-0.001,0
630636465,-0.05284536,0.056712013,0.0004961158,0.0,0.0,-0.001,0
630641465,-0.052820325,0.05656359,0.00131716,0.0,0.0,-0.001,0
630646510,-0.052763477,0.056653365,0.00064178463,0.0,0.0,-0.001,0
630651464,-0.052790355,0.05677487,0.0015265034,0.0,0.0,-0.001,0
630656452,-0.052884724,0.056820706,0.00029041493,0.0,0.0,-0.001,0
630661511,-0.053082403,0.056866575,0.0005419483,0.0,0.0,-0.001,0
630666475,-0.053189334,0.056869842,-0.00030465037,0.0,0.0,-0.001,0
630671463,-0.053253066,0.056663495,-0.0007826672,0.0,0.0,-0.001,0
630676499,-0.05300012,0.056617934,-0.0008568884,0.0,0.0,-0.001,0
630681468,-0.052851968,0.05665231,-0.0015710425,0.0,0.0,-0.001,0
630686462,-0.052703153,0.05670001,-0.0008497133,0.0,0.0,-0.001,0
630691506,-0.05271189,0.05668192,-0.0014847945,0.0,0.0,-0.001,0
