timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
630351780,1025920,1,3407898,6780433,3407898,4395041,0.50217783,0.5013161,0.50206584,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
631151652,1025920,1,3407898,6780433,3407898,4395041,1.0,0.5038281,0.5042737,nan,nan,nan,nan,nan,nan,0.0,0.5038281,0.5042737,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
632151745,1025920,1,3407898,6780433,3407898,4395041,0.5013368,0.5006663,0.5012312,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
633151811,1025920,1,3407898,6780433,3407898,4395041,0.5040878,0.50190544,0.5042098,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
634161618,1025920,1,3407898,6780433,3407898,4395041,0.5012326,0.5024384,0.5036513,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
635161666,1025920,1,3407898,6780433,3407898,4395041,0.5019029,0.504344,0.5047803,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
636161769,1025920,1,3407898,6780433,3407898,4395041,0.5164406,0.5178431,0.50720036,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
637171667,1025920,1,3407898,6780433,3407898,4395041,0.50363785,0.5059556,0.5162991,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
638181625,1025920,1,3407898,6780433,3407898,4395041,0.5240663,0.5171579,0.5115056,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
639181639,1025920,1,3407898,6780433,3407898,4395041,0.51872593,0.5226117,0.51250345,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
640191626,1025920,1,3407898,6780433,3407898,4395041,0.5099586,0.5088677,0.50797236,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
641191641,1025920,1,3407898,6780433,3407898,4395041,0.5316049,0.52847934,0.5288509,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
642201631,1025920,1,3407898,6780433,3407898,4395041,0.50771,0.51557964,0.5140885,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
643201642,1025920,1,3407898,6780433,3407898,4395041,0.5149874,0.51278275,0.50744134,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
644211622,1025920,1,3407898,6780433,3407898,4395041,0.5050768,0.5065221,0.5093739,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
645211638,1025920,1,3407898,6780433,3407898,4395041,0.500581,0.5098722,0.50292563,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
646221635,1025920,1,3407898,6780433,3407898,4395041,0.5443063,0.54127085,0.53562117,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.028950747,0.010621525,0.041552354,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
647221648,1025920,1,3407898,6780433,3407898,4395041,0.6547337,0.6230603,1.1317303,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
648221657,1025920,1,3407898,6780433,3407898,4395041,0.634988,0.6374566,1.347816,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
649231644,1025920,1,3407898,6780433,3407898,4395041,0.76207113,0.88003534,0.9366278,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
649551734,1025920,1,3407898,6780433,3407898,4395041,1.0299599,1.1159233,0.8204622,nan,nan,nan,nan,nan,nan,0.0,1.0,0.7905023,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
649561646,1025920,1,3407898,6780433,3407898,4395041,1.0299599,1.1754416,0.791383,nan,nan,nan,nan,nan,nan,0.0,1.0,0.5519254,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
649571619,1025920,1,3407898,6780433,3407898,4395041,1.0299599,1.1754416,0.791383,nan,nan,nan,nan,nan,nan,0.0,1.0,0.31334853,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
649581647,1025920,1,3407898,6780433,3407898,4395041,1.0334431,1.1754416,0.791383,nan,nan,nan,nan,nan,nan,0.0,1.0,0.07128847,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
649591656,1025920,1,3407898,6780433,3407898,4395041,1.0334431,1.1791983,0.7887538,nan,nan,nan,nan,nan,nan,0.0,1.0,-0.17340082,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
649601626,1025920,1,3407898,6780433,3407898,4395041,1.0334431,1.1791983,0.7887538,nan,nan,nan,nan,nan,nan,0.0,1.0,-0.4180901,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
649611973,649611625,2,3407882,6780433,3407882,4395041,1.0334431,1.1791983,0.7887538,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
