timestamp,lat,lon,alt,x,y,z,yaw,update_count,valid_alt,valid_hpos,valid_lpos,manual_home
630506210,0.0,0.0,0.0,0.24571505,2.805935,-0.7272875,1.5554984,5,0,0,1,0
634420198,0.0,0.0,0.0,0.24754128,2.8087337,-0.7298788,1.5554686,6,0,0,1,0
653216063,0.0,0.0,0.0,0.038698826,2.292336,-0.6563817,-1.9318444,7,0,0,1,0
653338132,0.0,0.0,0.0,0.16600971,2.301422,-0.74427783,-1.9330833,8,0,0,1,0
653448056,0.0,0.0,0.0,0.30223954,2.308115,-0.81546974,-1.9399091,9,0,0,1,0
653535995,0.0,0.0,0.0,0.43285066,2.3118057,-0.8666547,-1.9415364,10,0,0,1,0
653613265,0.0,0.0,0.0,0.564666,2.3136172,-0.90564877,-1.9438329,11,0,0,1,0
653711959,0.0,0.0,0.0,0.7049857,2.314747,-0.94472986,-1.9489181,12,0,0,1,0
653821952,0.0,0.0,0.0,0.8618639,2.3148003,-0.98647046,-1.9492961,13,0,0,1,0
