timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
630982978,630982730,0,nan,nan,0.24980795,2.8100126,-0.7277259,0.00040291937,-0.00088396424,0.40164658,0.0010281381,0.003408437,0.017510928,0.0027020054,-0.0019243918,0.00081313733,0.0005514653,-0.14670123,0.08519373,-0.08339621,1.5446664,0.00040349516,-0.011729987,1.5667083,3.479355e-05,nan,0.09904951,0.06713159,0.04177552,0.07743972,0.04134999,inf,inf,inf,inf,1,1,1,1,4,2,3,1,1,1,0,0,1,0,0
631483099,631482731,0,nan,nan,0.25199798,2.812021,-0.7199273,0.00040291937,-0.00088396424,0.40164658,0.004715718,0.005772044,0.020808807,0.0109846415,-0.0019243918,0.00081313733,0.0005514653,-0.035042133,-0.033540588,-0.036566965,1.5445682,0.00041226106,-0.0118752895,1.5667083,3.589269e-05,nan,0.09909141,0.09386053,0.056146137,0.0879571,0.045379832,inf,inf,inf,inf,1,1,1,1,4,2,3,1,1,1,0,0,1,0,1
631982976,631982730,0,nan,nan,0.25382334,2.811704,-0.7054128,-0.0040501654,-0.0010495186,0.01071763,0.00450256,0.0073456815,0.024264775,0.011150891,-0.0019243918,0.00081313733,0.0005514653,-0.17446144,0.074420184,0.0018281831,1.5444882,0.00041973888,-0.011982204,1.5667083,3.710845e-05,nan,0.08411503,0.10029276,0.050677396,0.09861052,0.049003985,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
632482974,632482730,0,nan,nan,0.2530136,2.814168,-0.7189536,-0.0040501654,-0.0010495186,0.01071763,0.004762446,0.009164145,0.022485316,-0.004960855,-0.0019243918,0.00081313733,0.0005514653,-0.08087636,-0.08420557,-0.080822736,1.5446033,0.0004201963,-0.012019419,1.5667083,3.7112215e-05,nan,0.09157765,0.06137739,0.038467735,0.10187225,0.049768712,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
632982973,632982730,0,nan,nan,0.25248498,2.8140354,-0.72395194,-0.0040501654,-0.0010495186,0.01071763,0.0056164567,0.0070996904,0.020571237,-0.006964853,-0.0019243918,0.00081313733,0.0005514653,-0.025541438,0.09717584,0.114532374,1.5447912,0.00042028032,-0.012035014,1.5667083,3.5002406e-05,nan,0.09476638,0.059072636,0.03743555,0.08930088,0.046160746,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
633482974,633482730,0,nan,nan,0.25055078,2.8145976,-0.7281252,-0.0040501654,-0.0010495186,0.01071763,0.0042294017,0.0066796453,0.016173802,-0.008987123,-0.0019243918,0.00081313733,0.0005514653,-0.06492762,0.00020533621,-0.11189524,1.5449934,0.00042069505,-0.01203182,1.5667083,3.4318513e-05,nan,0.096702576,0.05970953,0.03789618,0.08041355,0.043170314,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
633983003,633982774,0,nan,nan,0.25058565,2.8140137,-0.7311394,-0.0040501654,-0.0010495186,0.01071763,0.0034054169,0.004864098,0.014598011,-0.0067976946,-0.0019243918,0.00081313733,0.0005514653,0.016748495,-0.06434805,-0.013115832,1.5451685,0.00042074476,-0.012040927,1.5667083,3.386861e-05,nan,0.09886712,0.05806032,0.037442286,0.07256999,0.040237565,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
634482970,634482730,0,nan,nan,0.25156495,2.8118868,-0.7308237,-0.0040501654,-0.0010495186,0.01071763,0.0065203984,0.0036609597,0.016436638,-0.00076039945,-0.0019243918,0.00081313733,0.0005514653,0.07638456,0.15431748,-0.05191286,1.5454317,0.00042112594,-0.011950548,1.5667083,3.421511e-05,nan,0.0994516,0.057518646,0.037144136,0.07125681,0.039386667,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
634982971,634982730,0,nan,nan,0.25593308,2.8130984,-0.7310451,-0.0040501654,-0.0010495186,0.01071763,0.023711188,0.004540298,0.01803216,0.0031784964,-0.0019243918,0.00081313733,0.0005514653,0.990902,0.15595354,0.99942815,1.5453902,0.00042183418,-0.012188387,1.5667083,3.4865316e-05,nan,0.101088226,0.058248468,0.037228927,0.07339436,0.039766524,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,0,0,0
635483002,635482730,0,nan,nan,0.25812405,2.811028,-0.7469124,-0.0040501654,-0.0010495186,0.01071763,-0.031810716,-0.028822696,-0.06483298,-0.079025336,-0.0019243918,0.00081313733,0.0005514653,0.72166514,0.116825595,-1.2910085,1.5552247,0.0004228727,-0.0026749144,1.5667083,3.5298326e-05,nan,0.11695552,0.05971804,0.03764983,0.07600764,0.04034927,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,0,0,0
