timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
630560123,630559981,3407898,0.043366767,-0.0026396438,0.0046464396,34.224033,0,0,0,0,8
630561332,630561189,3407898,-0.0072444486,-0.0058705015,-0.0030809725,34.156097,0,0,0,0,8
630662580,630662438,3407898,-0.020892324,-0.00010825038,0.010333748,34.171196,0,0,0,0,8
630760130,630759982,3407898,-0.017469946,0.00281451,0.0075941808,34.322163,0,0,0,0,8
630862590,630862438,3407898,0.029460758,-0.002115046,0.005220999,34.46558,0,0,0,0,8
630963832,630963688,3407898,0.013722817,-0.0011990812,-0.0025230665,34.344807,0,0,0,0,8
631061343,631061190,3407898,0.018052833,-0.0023731815,-0.0048546134,34.359905,0,0,0,0,8
631162581,631162438,3407898,-0.009767516,-0.006778139,-0.017844658,34.269325,0,0,0,0,8
631261376,631261221,3407898,0.0373214,0.0021400268,-0.01991807,34.359905,0,0,0,0,8
631362584,631362439,3407898,0.019226933,0.0060786754,0.0011491195,34.307064,0,0,0,0,8
631460130,631459982,3407898,0.031450897,-0.017120214,-0.0024148163,34.18629,0,0,0,0,8
631562579,631562438,3407898,-0.023790102,0.027478943,0.013348104,34.224033,0,0,0,0,8
631663832,631663687,3407898,0.031350974,-0.015071784,-0.003680513,34.20894,0,0,0,0,8
631761330,631761187,3407898,-0.030709801,0.01765314,0.0053292494,34.352356,0,0,0,0,8
631862577,631862437,3407898,0.039070062,-0.014613802,-0.014105857,34.19384,0,0,0,0,8
631961327,631961188,3407898,-0.011691041,0.0067281774,0.0055041155,34.239132,0,0,0,0,8
632062579,632062438,3407898,-0.024614472,-0.0015155054,-0.00044965543,34.148552,0,0,0,0,8
632160115,632159978,3407898,0.0368884,-0.0010825038,-0.003697167,34.261776,0,0,0,0,8
632262576,632262437,3407898,-0.037771057,0.022374522,0.0021733346,34.02778,0,0,0,0,8
632363828,632363688,3407898,0.0051710373,0.009242917,0.0010658499,34.28442,0,0,0,0,8
632461369,632461220,3407898,-0.021400267,0.006653235,-0.0056456737,34.344807,0,0,0,0,8
632562575,632562437,3407898,-0.019085376,0.028777948,0.010083939,34.133453,0,0,0,0,8
632661328,632661188,3407898,-0.026179938,0.029394142,4.163476e-05,34.141003,0,0,0,0,8
632762580,632762439,3407898,0.020292783,-0.02486428,0.00088265695,34.28442,0,0,0,0,8
632860118,632859979,3407898,-0.019085376,0.022207983,-0.001390601,34.178745,0,0,0,0,8
632962581,632962437,3407898,-0.016520673,-0.011024885,-0.0058871554,34.073067,0,0,0,0,8
633063827,633063687,3407898,-0.015396535,0.00524598,0.005753924,34.20139,0,0,0,0,8
633161333,633161187,3407898,-0.009442764,-0.01251541,-0.0017736409,34.314613,0,0,0,0,8
633262577,633262437,3407898,0.0037221478,0.02606336,0.005187691,34.080616,0,0,0,0,8
633361359,633361211,3407898,-0.020009667,0.0058871554,0.009242917,34.239132,0,0,0,0,8
633462578,633462438,3407898,0.024456259,0.0034140504,-0.011316328,34.18629,0,0,0,0,8
633560115,633559978,3407898,0.008410222,0.015363228,0.016512347,34.20894,0,0,0,0,8
633662567,633662437,3407898,0.008783745,-0.011429337,0.0009040691,34.359905,0,0,0,0,7
633763827,633763688,3407898,-0.048129786,0.0060287137,0.01680379,34.239132,0,0,0,0,8
633861327,633861188,3407898,-0.033191234,-0.01751158,0.0039219945,34.28442,0,0,0,0,8
633962575,633962440,3407898,-0.009240538,0.023857908,0.006023955,34.204624,0,0,0,0,7
634061323,634061188,3407898,-0.016130496,0.021726208,-0.015968716,34.39441,0,0,0,0,7
634162585,634162438,3407898,0.042900458,0.01060021,0.0063867727,34.057972,0,0,0,0,8
634260116,634259979,3407898,-0.044907253,-0.0087433,-0.01524665,34.314613,0,0,0,0,8
634362575,634362437,3407898,0.02972722,0.029643951,-0.016628925,34.239132,0,0,0,0,8
634463829,634463688,3407898,-0.0042633996,-0.0029560681,0.002631317,34.10326,0,0,0,0,8
634561355,634561211,3407898,0.045323603,0.012440467,-0.023765123,34.375,0,0,0,0,8
634662581,634662438,3407898,0.23098134,-0.01910203,0.04839625,34.329712,0,0,0,0,8
634761323,634761188,3407898,-0.018861737,0.097744144,-0.05512918,34.308144,0,0,0,0,7
634862582,634862437,3407898,-0.0676898,-0.19859782,0.09610969,34.239132,0,0,0,0,8
634960125,634959979,3407898,-0.20288897,0.28355306,-0.16092853,34.346485,0,0,0,0,9
635062577,635062437,3407898,-0.28045174,-0.07911438,-0.025197359,34.329712,0,0,0,0,8
635163828,635163688,3407898,0.28956145,0.04677249,-0.007860643,34.29952,0,0,0,0,8
635261318,635261187,3407898,0.017586524,-0.11799529,0.11570181,33.98033,0,0,0,0,7
635362582,635362437,3407898,-0.006461715,-0.028952813,-0.02936916,34.178745,0,0,0,0,8
635461346,635461211,3407898,-0.038656093,0.017139247,-0.009897178,34.239132,0,0,0,0,7
635562577,635562438,3407898,0.06813113,-0.26062527,0.08209542,34.20894,0,0,0,0,8
635660128,635659980,3407898,0.32788208,-0.22965364,0.27205077,34.46055,0,0,0,0,9
635762578,635762438,3407898,-0.2989126,0.1360291,-0.013731144,34.359905,0,0,0,0,8
635863829,635863688,3407898,-0.28819582,0.15932791,-0.11556977,34.148552,0,0,0,0,8
635961328,635961188,3407898,0.4146739,-0.20177038,0.07252776,34.329712,0,0,0,0,8
636062578,636062438,3407898,0.42036954,-0.009068051,-0.08309466,34.375,0,0,0,0,8
636161337,636161190,3407898,-0.2752807,0.02128369,-0.008426876,34.359905,0,0,0,0,8
636262582,636262437,3407898,-0.012940084,-0.28773785,0.04314194,34.329712,0,0,0,0,8
636360120,636359979,3407898,0.1868235,0.124113224,-0.14553848,34.239132,0,0,0,0,8
636462577,636462437,3407898,0.2746229,-0.080121934,-0.041951187,34.405193,0,0,0,0,8
636563828,636563687,3407898,-0.09695903,-0.02281585,-0.1646738,34.42029,0,0,0,0,8
636661354,636661211,3407898,-0.53309983,-0.2717501,-0.42417496,34.375,0,0,0,0,8
636762586,636762438,3407898,0.004971191,0.011166443,-0.121540196,34.20894,0,0,0,0,8
636861336,636861188,3407898,0.2529395,-0.003872033,-0.12456288,34.329712,0,0,0,0,8
636962579,636962437,3407898,-0.00797722,-0.019085376,-0.078739665,34.178745,0,0,0,0,8
637060120,637059979,3407898,-0.014688744,0.10756757,0.012731911,34.19384,0,0,0,0,8
637162578,637162437,3407898,0.1276272,0.12397999,0.03972789,34.329712,0,0,0,0,8
637263828,637263687,3407898,0.10039806,-0.016096,0.13591252,34.239132,0,0,0,0,8
637361335,637361187,3407898,-0.08749962,-0.002972722,0.07167008,34.42029,0,0,0,0,8
637462585,637462438,3407898,0.1575043,-0.14749531,0.23679355,34.405193,0,0,0,0,8
637561362,637561211,3407898,0.0802968,-0.1114063,0.051735356,34.29952,0,0,0,0,8
637662577,637662437,3407898,-0.08316127,-0.05904642,-0.019118683,34.42029,0,0,0,0,8
637760128,637759980,3407898,-0.13716155,-0.04811313,0.045348585,34.239132,0,0,0,0,8
637862583,637862438,3407898,-0.10695138,-0.019818148,-0.05333413,34.269325,0,0,0,0,8
637963828,637963687,3407898,-0.11642745,-0.018827239,-0.075542115,34.29952,0,0,0,0,8
638061329,638061188,3407898,0.035339586,0.11804288,-0.008585088,34.42029,0,0,0,0,8
638162580,638162438,3407898,-0.02328216,-0.051635433,-0.10975756,34.359905,0,0,0,0,8
638261362,638261212,3407898,-0.007694104,0.05903809,-0.034931567,34.329712,0,0,0,0,8
638362576,638362437,3407898,-0.021650076,-0.11592783,0.022099731,34.329712,0,0,0,0,8
638460125,638459980,3407898,-0.003672186,-0.015279958,0.034282062,34.224033,0,0,0,0,8
638562581,638562438,3407898,-0.10688476,-0.041085184,-0.072361216,34.359905,0,0,0,0,8
638663821,638663687,3407898,0.14650677,0.004529862,-0.03166145,34.359905,0,0,0,0,7
638761358,638761215,3407898,0.034032255,-0.077523924,-0.002098392,34.450485,0,0,0,0,8
638862582,638862437,3407898,0.007177833,-0.07401828,0.07663295,34.359905,0,0,0,0,8
638961340,638961190,3407898,0.04707226,-0.040943626,0.043674864,34.239132,0,0,0,0,8
639062571,639062438,3407898,0.009173922,-0.0055195796,0.054215595,34.26501,0,0,0,0,7
639160121,639159980,3407898,-0.009609303,-0.005562404,0.0890401,34.178745,0,0,0,0,8
639262570,639262437,3407898,0.048486654,0.020555677,0.078349486,34.36853,0,0,0,0,7
639363836,639363687,3407898,0.08571765,-0.042767227,0.12239787,34.141003,0,0,0,0,8
639461319,639461187,3407898,0.21049584,-0.017310545,0.026113322,34.26501,0,0,0,0,7
639562577,639562437,3407898,0.0051377295,0.04221765,0.00505446,34.359905,0,0,0,0,8
639661360,639661211,3407898,-0.045306947,0.006961332,-0.039869446,34.28442,0,0,0,0,8
639762582,639762440,3407898,-0.07915601,0.100323126,-0.051185776,34.359905,0,0,0,0,8
639860117,639859979,3407898,0.06427575,-0.07132868,0.01467209,34.329712,0,0,0,0,8
639962567,639962437,3407898,-0.005176985,0.121563986,0.048734084,34.29089,0,0,0,0,7
640063828,640063688,3407898,0.03573928,-0.038120788,-0.011199751,34.337257,0,0,0,0,8
640161325,640161188,3407898,0.041434914,0.10590932,-0.0286352,34.239132,0,0,0,0,7
640262580,640262437,3407898,0.08431039,-0.049253922,0.014613802,34.20139,0,0,0,0,8
640361319,640361188,3407898,-0.065150075,0.12803522,-0.12568463,34.325397,0,0,0,0,7
640462583,640462437,3407898,0.22843328,-0.05648172,-0.04817142,34.28442,0,0,0,0,8
640560128,640559980,3407898,0.16571745,0.03916258,0.041834608,34.245842,0,0,0,0,9
640662580,640662437,3407898,0.09954039,0.059829153,0.0042967075,34.344807,0,0,0,0,8
640763828,640763687,3407898,-0.014846956,0.039911084,0.0264464,34.352356,0,0,0,0,8
640861359,640861211,3407898,0.047325637,-0.017691204,-0.032061145,34.359905,0,0,0,0,7
640962575,640962437,3407898,0.04603972,-0.028011868,-0.013589586,34.27687,0,0,0,0,8
641061327,641061187,3407898,-0.01827766,0.09056394,0.013106623,34.148552,0,0,0,0,8
641162579,641162437,3407898,0.22434475,-0.016470712,-0.030951282,34.29197,0,0,0,0,8
641260123,641259980,3407898,0.10894985,0.055690657,-0.0005079441,34.352356,0,0,0,0,8
641362577,641362437,3407898,-0.10045636,-0.017703101,0.04854613,34.344807,0,0,0,0,8
641463826,641463687,3407898,-0.05019487,0.0131482575,0.0188772,34.337257,0,0,0,0,8
641561342,641561188,3407898,-0.13792764,-0.09340343,0.03213371,34.352356,0,0,0,0,8
641662586,641662437,3407898,-0.16950345,-0.005595712,0.027045941,34.28442,0,0,0,0,8
641761354,641761211,3407898,-0.02172502,-0.06672387,-0.08772445,34.254227,0,0,0,0,8
641862578,641862438,3407898,-0.028519811,0.0035389548,0.006778139,34.246677,0,0,0,0,8
641960116,641959978,3407898,0.017461618,0.067031965,-0.017395003,34.359905,0,0,0,0,8
642062576,642062437,3407898,-0.0679063,0.026213245,-0.020309437,34.246677,0,0,0,0,8
642163827,642163687,3407898,-0.0037721095,-0.024572836,0.0853929,34.322163,0,0,0,0,8
642261339,642261188,3407898,-0.023898354,0.08729977,0.049220614,34.397644,0,0,0,0,8
642362577,642362437,3407898,-0.031001244,-0.020384379,0.10635184,34.3901,0,0,0,0,8
642461330,642461188,3407898,-0.05305934,-0.023573602,-0.08606738,34.28442,0,0,0,0,8
642562581,642562440,3407898,0.01778637,0.0146304555,-0.06805618,34.254227,0,0,0,0,8
642660118,642659979,3407898,-0.01699531,0.07122042,-0.029635623,34.359905,0,0,0,0,8
642762577,642762437,3407898,0.063018374,-0.03057657,0.1154532,34.314613,0,0,0,0,8
642863829,642863687,3407898,-0.024497895,0.11527,-0.014230762,34.329712,0,0,0,0,8
642961368,642961216,3407898,0.05909638,-0.056381796,0.0052792877,34.42029,0,0,0,0,8
643062576,643062437,3407898,-0.013539624,-0.0107251145,0.034881603,34.412743,0,0,0,0,8
643161328,643161188,3407898,0.09814146,0.005220999,0.010333748,34.54861,0,0,0,0,8
643262581,643262438,3407898,0.015646344,-0.018685682,-0.04155982,34.359905,0,0,0,0,8
643360124,643359979,3407898,0.2595511,-0.019285223,-0.048845902,34.080616,0,0,0,0,8
643462577,643462437,3407898,0.08207044,0.002298239,-0.0163125,34.29197,0,0,0,0,8
643563827,643563687,3407898,0.13672023,-0.04792994,0.041876245,34.352356,0,0,0,0,8
643661334,643661190,3407898,-0.027012633,0.052551396,-0.15798727,34.314613,0,0,0,0,8
643762577,643762437,3407898,-0.04456585,-0.072694294,-0.105510816,34.344807,0,0,0,0,8
643861358,643861211,3407898,-0.035397876,0.012973391,-0.059987366,34.156097,0,0,0,0,8
643962582,643962437,3407898,-0.007752393,0.013198219,-0.056981336,34.239132,0,0,0,0,8
644060123,644059982,3407898,0.031226072,-0.015321593,0.008660031,34.322163,0,0,0,0,8
644162572,644162438,3407898,-0.050704002,-0.0974872,-0.07276329,34.532436,0,0,0,0,7
644263826,644263687,3407898,-0.03673019,0.019393472,0.070021346,34.359905,0,0,0,0,8
644361328,644361188,3407898,0.010317094,0.14249913,0.0796473,34.352356,0,0,0,0,8
644462573,644462439,3407898,-0.07765478,0.031471122,0.05585244,34.359905,0,0,0,0,7
644561330,644561188,3407898,0.062523514,-0.00031404506,-0.08739018,34.359905,0,0,0,0,7
644662582,644662437,3407898,-0.03882025,0.15009332,0.010550248,34.239132,0,0,0,0,8
644760121,644759979,3407898,-0.04707226,0.05896315,-0.036030725,34.239132,0,0,0,0,8
644862576,644862437,3407898,0.021933192,0.013972626,-0.003680513,34.450485,0,0,0,0,8
644963829,644963688,3407898,-0.088049196,0.097833365,-0.06863907,34.359905,0,0,0,0,8
645061355,645061211,3407898,0.013256508,0.13580427,0.008152086,34.359905,0,0,0,0,8
645162576,645162437,3407898,-0.037054937,0.080047,-0.04693903,34.254227,0,0,0,0,8
645261320,645261188,3407898,0.10734631,-0.019860972,0.012276307,34.42029,0,0,0,0,7
645362586,645362438,3407898,0.019251915,-0.031484205,-0.0034390313,34.42029,0,0,0,0,8
645460125,645459979,3407898,-0.13839765,-0.059339713,0.0053070444,34.339775,0,0,0,0,9
645562582,645562437,3407898,0.016145961,-0.012140697,0.0016237557,34.344807,0,0,0,0,8
645663833,645663687,3407898,0.015771247,0.03975287,0.054341692,34.269325,0,0,0,0,8
645761325,645761188,3407898,0.12832071,0.043947276,0.052112445,34.34265,0,0,0,0,7
645862582,645862437,3407898,1.5299526,1.0711542,0.54986197,34.42029,0,0,0,0,8
645961348,645961211,3407898,3.427012,1.908328,1.1698464,34.403038,0,0,0,0,7
646062578,646062437,3407898,5.2535744,0.98910874,1.315925,34.29952,0,0,0,0,8
646160127,646159980,3407898,5.5073795,-0.5319923,3.0877671,34.405193,0,0,0,0,8
646262584,646262438,3407898,6.7504272,0.14109188,2.1376953,34.239132,0,0,0,0,8
646363828,646363687,3407898,7.7068944,0.13949311,1.9671593,34.254227,0,0,0,0,8
646461339,646461188,3407898,4.699199,-0.44752374,2.0232496,34.3901,0,0,0,0,8
646562577,646562437,3407898,3.8987458,-1.571196,1.4718055,34.405193,0,0,0,0,8
646661326,646661187,3407898,-0.41354144,0.47619343,-1.7758892,34.359905,0,0,0,0,8
646762584,646762438,3407898,-1.9821811,-0.12024952,1.115337,34.314613,0,0,0,0,8
646860120,646859980,3407898,-1.266721,0.035481144,0.35576904,34.29952,0,0,0,0,8
646962590,646962438,3407898,0.102771245,0.016687213,-0.009292879,34.375,0,0,0,0,8
647063835,647063687,3407898,1.0659082,0.055482484,-0.305799,34.42029,0,0,0,0,8
647161355,647161211,3407898,0.5910887,0.1102655,-0.14173305,34.359905,0,0,0,0,8
647262586,647262438,3407898,-0.05415017,-0.07864807,0.16466549,34.239132,0,0,0,0,8
647361328,647361187,3407898,-0.31700706,0.02721248,-0.08305302,34.359905,0,0,0,0,8
647462578,647462438,3407898,-0.049220614,0.005204345,0.12179834,34.359905,0,0,0,0,8
647560121,647559980,3407898,0.17392506,0.09792496,-0.17662299,34.405193,0,0,0,0,8
647662583,647662437,3407898,0.10591051,-0.03566434,0.1024798,34.29952,0,0,0,0,8
647763828,647763688,3407898,-0.09980685,-0.050153233,-0.05155216,34.46558,0,0,0,0,8
647861334,647861188,3407898,-0.037696112,0.07149521,0.051926874,34.239132,0,0,0,0,8
647962577,647962437,3407898,-0.07363524,0.034798335,-0.8244016,34.359905,0,0,0,0,8
648061356,648061210,3407898,0.001407255,-0.08066319,0.7167174,34.359905,0,0,0,0,8
648162582,648162438,3407898,-0.1896047,0.027404001,-0.33179575,34.495773,0,0,0,0,8
648260121,648259980,3407898,-0.12690276,0.045506794,-0.1874397,34.42029,0,0,0,0,8
648362587,648362438,3407898,0.10546918,-0.06507514,0.47098908,34.314613,0,0,0,0,8
648463827,648463687,3407898,0.11711858,0.074467935,-0.5238569,34.329712,0,0,0,0,8
648561337,648561189,3407898,0.0065033496,-0.033749137,0.3434868,34.254227,0,0,0,0,8
648662576,648662437,3407898,-0.03742965,-0.0068530818,-0.10218836,34.480675,0,0,0,0,8
648761324,648761187,3407898,0.022366194,0.047738418,-0.12792698,34.359905,0,0,0,0,8
648862578,648862437,3407898,0.032691617,-0.06851416,0.27112558,34.329712,0,0,0,0,8
648960126,648959980,3407898,-0.06427575,0.057172853,-0.30962107,34.28442,0,0,0,0,8
649062575,649062438,3407898,-0.041520562,-0.042605445,0.25181654,34.42029,0,0,0,0,7
649163826,649163687,3407898,0.02210806,0.017611504,-0.11569468,34.450485,0,0,0,0,8
649261354,649261211,3407898,0.063517995,0.019943051,-0.06156116,34.329712,0,0,0,0,8
649362583,649362438,3407898,0.00097425346,-0.040335756,0.16790468,34.27687,0,0,0,0,8
649461327,649461190,3407898,-0.05556694,0.056223582,-0.21798533,34.42029,0,0,0,0,7
649562569,649562437,3407898,-0.0061191204,-0.043081272,0.211457,34.385784,0,0,0,0,7
