timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,source_type,source_id
628976941,0,0,0,0,0
629483034,0,0,0,0,0
629988964,0,0,0,0,0
630494941,0,0,0,0,0
630999004,0,0,0,0,0
631504963,0,0,0,0,0
632010962,0,0,0,0,0
632516961,0,0,0,0,0
633023060,0,0,0,0,0
633528962,0,0,0,0,0
634034962,0,0,0,0,0
634540979,0,0,0,0,0
635047003,0,0,0,0,0
635553238,0,0,0,0,0
636058962,0,0,0,0,0
636564963,0,0,0,0,0
637070963,0,0,0,0,0
637576961,0,0,0,0,0
638083100,0,0,0,0,0
638588962,0,0,0,0,0
639094974,0,0,0,0,0
639600974,0,0,0,0,0
640106963,0,0,0,0,0
640613082,0,0,0,0,0
641118996,0,0,0,0,0
641624960,0,0,0,0,0
642130962,0,0,0,0,0
642636963,0,0,0,0,0
643143055,0,0,0,0,0
643648962,0,0,0,0,0
644154963,0,0,0,0,0
644660962,0,0,0,0,0
645166962,0,0,0,0,0
645673124,0,0,0,0,0
646178963,0,0,0,0,0
646684975,0,0,0,0,0
647190961,0,0,0,0,0
647696961,0,0,0,0,0
648203056,0,0,0,0,0
648709942,0,0,0,0,0
649215942,0,0,0,0,0
649723501,0,0,0,0,0
650230942,0,0,0,0,0
650736941,0,0,0,0,0
651243493,0,0,0,0,0
651748942,0,0,0,0,0
652254941,0,0,0,0,0
652760942,0,0,0,0,0
653260984,0,0,0,0,0
653767005,0,0,0,0,0
