timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
631461792,631461188,0,nan,nan,0.24846393,2.807605,-0.7172927,-0.0010376364,0.005591696,0.42343825,-1.8354129e-05,-0.0019732716,0.02467167,0.012985841,-0.0031508233,0.0006665007,-0.00011949052,0.23295985,0.052106343,-0.103520736,1.5553889,0.00041306042,-0.0020934977,1.5666031,3.656311e-05,nan,0.09965491,0.095368676,0.05623583,0.09113532,0.046189643,inf,inf,inf,inf,1,1,1,1,4,2,3,1,1,1,0,0,1,0,1
631571746,631571188,0,nan,nan,0.24856405,2.807533,-0.71483505,-0.0010376364,0.005591696,0.42343825,-0.00043981563,-0.0020548967,0.026582146,0.015841788,-0.0031508233,0.0006665007,-0.00011949052,-0.21578886,0.18221015,0.067747615,1.5555458,0.00041523305,-0.001937383,1.5666031,3.638523e-05,nan,0.09879351,0.100273155,0.059258875,0.09139712,0.046491656,inf,inf,inf,inf,1,1,1,1,4,2,3,1,1,1,0,0,1,0,1
631671621,631671188,0,nan,nan,0.2551705,2.809637,-0.7042056,0.006537527,0.0022089481,0.008081913,-0.000118490665,-0.0012412253,0.027969945,0.01820488,-0.0031508233,0.0006665007,-0.00011949052,-0.20363542,0.2280369,0.055867743,1.5555333,0.00041687262,-0.0019531895,1.5666031,3.7078054e-05,nan,0.09899098,0.14143415,0.10000453,0.09575974,0.047822397,inf,inf,inf,inf,1,1,1,1,5,3,3,1,1,1,0,0,1,0,0
631761628,631761187,0,nan,nan,0.2524888,2.8078113,-0.70323914,-0.0027139783,-0.0017104149,0.008081913,-0.001679336,-0.0036388638,0.027161123,0.0167621,-0.0031508233,0.0006665007,-0.00011949052,-0.005704872,-0.15361571,0.013941861,1.555573,0.00041866195,-0.0019183108,1.5666031,3.6637146e-05,nan,0.08099502,0.14142448,0.070751816,0.094471276,0.047665395,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
631871692,631871188,0,nan,nan,0.2523619,2.8076565,-0.7076113,-0.0027139783,-0.0017104149,0.008081913,-0.0011327408,-0.0026895194,0.027469663,0.011084628,-0.0031508233,0.0006665007,-0.00011949052,-0.07624696,0.23817883,-0.014031232,1.5554851,0.00041875138,-0.0020088877,1.5666031,3.738612e-05,nan,0.08083552,0.100227326,0.057990927,0.099155985,0.04902594,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
631961630,631961188,0,nan,nan,0.25201854,2.8076558,-0.7113315,-0.0027139783,-0.0017104149,0.008081913,-0.0007594136,-0.0025268483,0.028122824,0.007061324,-0.0031508233,0.0006665007,-0.00011949052,0.0468027,0.07376451,-0.09677275,1.5555031,0.00041878625,-0.0019877774,1.5666031,3.677814e-05,nan,0.08137953,0.082285024,0.0505297,0.096952915,0.048604425,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
632071648,632071212,0,nan,nan,0.25145173,2.80782,-0.71537477,-0.0027139783,-0.0017104149,0.008081913,-0.00064534735,-0.0029073963,0.028669825,0.0029405097,-0.0031508233,0.0006665007,-0.00011949052,0.15365846,-0.17093645,0.12347149,1.5554812,0.00041922004,-0.0020021566,1.5666031,3.7423713e-05,nan,0.08501035,0.07253266,0.045877278,0.10106048,0.04975801,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
632161657,632161211,0,nan,nan,0.25100133,2.8079908,-0.7178193,-0.0027139783,-0.0017104149,0.008081913,-0.001053049,-0.0021820592,0.028417489,5.7572208e-05,-0.0031508233,0.0006665007,-0.00011949052,0.10684771,0.01750756,0.054975286,1.555467,0.00041890575,-0.002008728,1.5666031,3.6639074e-05,nan,0.08703023,0.06605124,0.04250877,0.0977696,0.04902943,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
632271616,632271188,0,nan,nan,0.25041592,2.8081572,-0.71989185,-0.0027139783,-0.0017104149,0.008081913,-0.00089315476,-0.003439447,0.028062016,-0.0022563695,-0.0031508233,0.0006665007,-0.00011949052,0.08949068,-0.19314882,0.00011039472,1.5554705,0.00041933818,-0.0019963076,1.5666031,3.7123587e-05,nan,0.08957124,0.06285324,0.040545385,0.10092958,0.04991219,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
632371669,632371212,0,nan,nan,0.24981931,2.8082616,-0.7211676,-0.0027139783,-0.0017104149,0.008081913,-0.0020745115,-0.0021294195,0.029164588,-0.0020977485,-0.0031508233,0.0006665007,-0.00011949052,-0.05536039,0.0219166,0.1266147,1.5554748,0.00041922161,-0.0019837713,1.5666031,3.629432e-05,nan,0.09106445,0.06030182,0.03901496,0.097070724,0.04900838,inf,inf,inf,inf,1,1,1,1,6,3,3,1,1,1,0,0,1,0,0
