timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
630568792,630568690,0.0,0.0,-0.001
630570083,630569981,0.0,0.0,-0.001
630573794,630573688,0.0,0.0,-0.001
630576283,630576187,0.0,0.0,-0.001
630580086,630579982,0.0,0.0,-0.001
630583789,630583688,0.0,0.0,-0.001
630587539,630587437,0.0,0.0,-0.001
630591282,630591188,0.0,0.0,-0.001
630593789,630593688,0.0,0.0,-0.001
630597537,630597437,0.0,0.0,-0.001
630601321,630601215,0.0,0.0,-0.001
630605089,630604982,0.0,0.0,-0.001
630608789,630608688,0.0,0.0,-0.001
630611297,630611194,0.0,0.0,-0.001
630615083,630614982,0.0,0.0,-0.001
630618787,630618687,0.0,0.0,-0.001
630622530,630622438,0.0,0.0,-0.001
630626283,630626188,0.0,0.0,-0.001
630628787,630628687,0.0,0.0,-0.001
630632540,630632438,0.0,0.0,-0.001
630636289,630636189,0.0,0.0,-0.001
630640087,630639979,0.0,0.0,-0.001
630643791,630643688,0.0,0.0,-0.001
630646311,630646211,0.0,0.0,-0.001
630650084,630649981,0.0,0.0,-0.001
630653795,630653690,0.0,0.0,-0.001
630657540,630657439,0.0,0.0,-0.001
630661316,630661213,0.0,0.0,-0.001
630663790,630663689,0.0,0.0,-0.001
630667539,630667437,0.0,0.0,-0.001
630671288,630671188,0.0,0.0,-0.001
630675091,630674982,0.0,0.0,-0.001
630678789,630678687,0.0,0.0,-0.001
630681292,630681189,0.0,0.0,-0.001
630685079,630684978,0.0,0.0,-0.001
630688785,630688691,0.0,0.0,-0.001
630692539,630692438,0.0,0.0,-0.001
630696297,630696190,0.0,0.0,-0.001
630698787,630698687,0.0,0.0,-0.001
630702541,630702439,0.0,0.0,-0.001
630706314,630706212,0.0,0.0,-0.001
630710079,630709979,0.0,0.0,-0.001
630713804,630713702,0.0,0.0,-0.001
630716285,630716187,0.0,0.0,-0.001
630720086,630719982,0.0,0.0,-0.001
630723788,630723688,0.0,0.0,-0.001
630727539,630727437,0.0,0.0,-0.001
630731289,630731188,0.0,0.0,-0.001
630733788,630733688,0.0,0.0,-0.001
630737538,630737437,0.0,0.0,-0.001
630741287,630741190,0.0,0.0,-0.001
630745083,630744982,0.0,0.0,-0.001
630748790,630748687,0.0,0.0,-0.001
630751313,630751213,0.0,0.0,-0.001
630755079,630754978,0.0,0.0,-0.001
630758786,630758687,0.0,0.0,-0.001
630762540,630762439,0.0,0.0,-0.001
630766315,630766212,0.0,0.0,-0.001
630768789,630768688,0.0,0.0,-0.001
630772540,630772437,0.0,0.0,-0.001
630776279,630776187,0.0,0.0,-0.001
630780085,630779982,0.0,0.0,-0.001
630783790,630783688,0.0,0.0,-0.001
630786288,630786188,0.0,0.0,-0.001
630790092,630789981,0.0,0.0,-0.001
630793789,630793688,0.0,0.0,-0.001
630797541,630797438,0.0,0.0,-0.001
630801295,630801191,0.0,0.0,-0.001
630803789,630803688,0.0,0.0,-0.001
630807537,630807437,0.0,0.0,-0.001
630811321,630811217,0.0,0.0,-0.001
630815085,630814982,0.0,0.0,-0.001
630818790,630818688,0.0,0.0,-0.001
630821282,630821188,0.0,0.0,-0.001
630825085,630824978,0.0,0.0,-0.001
630828786,630828687,0.0,0.0,-0.001
630832540,630832438,0.0,0.0,-0.001
630836290,630836188,0.0,0.0,-0.001
630838788,630838688,0.0,0.0,-0.001
630842539,630842438,0.0,0.0,-0.001
630846287,630846188,0.0,0.0,-0.001
630850084,630849982,0.0,0.0,-0.001
630853790,630853688,0.0,0.0,-0.001
630856317,630856213,0.0,0.0,-0.001
630860085,630859984,0.0,0.0,-0.001
630863788,630863688,0.0,0.0,-0.001
630867537,630867438,0.0,0.0,-0.001
630871323,630871220,0.0,0.0,-0.001
630873789,630873688,0.0,0.0,-0.001
630877539,630877438,0.0,0.0,-0.001
630881289,630881188,0.0,0.0,-0.001
630885079,630884979,0.0,0.0,-0.001
630888788,630888687,0.0,0.0,-0.001
630891281,630891188,0.0,0.0,-0.001
630895085,630894982,0.0,0.0,-0.001
630898788,630898688,0.0,0.0,-0.001
630902539,630902438,0.0,0.0,-0.001
630906286,630906188,0.0,0.0,-0.001
630908787,630908688,0.0,0.0,-0.001
630912538,630912438,0.0,0.0,-0.001
630916310,630916211,0.0,0.0,-0.001
630920084,630919982,0.0,0.0,-0.001
630923791,630923688,0.0,0.0,-0.001
630926289,630926188,0.0,0.0,-0.001
630930083,630929982,0.0,0.0,-0.001
630933790,630933688,0.0,0.0,-0.001
630937530,630937438,0.0,0.0,-0.001
630941285,630941190,0.0,0.0,-0.001
630943789,630943688,0.0,0.0,-0.001
630947539,630947438,0.0,0.0,-0.001
630951289,630951188,0.0,0.0,-0.001
630955089,630954981,0.0,0.0,-0.001
630958788,630958687,0.0,0.0,-0.001
630961313,630961213,0.0,0.0,-0.001
630965084,630964982,0.0,0.0,-0.001
630968788,630968688,0.0,0.0,-0.001
630972538,630972437,0.0,0.0,-0.001
630976313,630976212,0.0,0.0,-0.001
630978788,630978687,0.0,0.0,-0.001
630982537,630982438,0.0,0.0,-0.001
630986289,630986188,0.0,0.0,-0.001
630990090,630989982,0.0,0.0,-0.001
630993794,630993688,0.0,0.0,-0.001
630996289,630996189,0.0,0.0,-0.001
631000079,630999979,0.0,0.0,-0.001
