timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
630565146,630564981,-0.067210324,-0.007114642,-9.772678
630570150,630569981,-0.13327622,0.042517122,-9.787934
630620157,630619982,-0.03758333,0.051601514,-9.878389
630670144,630669980,-0.22131725,-0.16164285,-9.752149
630720156,630719982,-0.025592666,-0.065537415,-9.8582325
630765156,630764982,-0.10527597,-0.16328265,-9.740235
630820163,630819982,-0.09539762,-0.059282523,-9.754895
630870142,630869978,-0.112321496,0.019071016,-9.798274
630920149,630919982,-0.037399743,-0.15488654,-9.790965
630970143,630969978,-0.081615575,0.033567324,-9.777926
631020147,631019982,-0.095228374,-0.17390028,-9.78343
631070154,631069982,-0.050086956,-0.021341786,-9.748822
631115150,631114982,-0.10636344,-0.18003118,-9.851045
631170152,631169982,-0.054423653,-0.03431277,-9.744612
631220152,631219982,-0.09901421,-0.022129448,-9.794447
631270143,631269978,-0.13394763,-0.08673236,-9.818656
631320154,631319982,-0.06410994,-0.083903424,-9.762716
631370139,631369978,-0.06695147,-0.14481966,-9.742881
631420177,631419982,0.010747374,-0.06233353,-9.755644
631465161,631464982,-0.08642217,-0.15822795,-9.790825
631520156,631519982,-0.006105818,-0.09030949,-9.795654
631570147,631569979,-0.046272717,-0.004063405,-9.773349
631620140,631619977,-0.05384003,-0.17822538,-9.792563
631670155,631669980,-0.056878474,-0.016545454,-9.786727
631720152,631719980,-0.06657308,-0.1450916,-9.736918
631770144,631769978,-0.014506631,-0.10215729,-9.755026
631815140,631814979,-0.15136579,-0.16872361,-9.873777
631870150,631869980,-0.09133106,-0.12933435,-9.86518
631920143,631919978,-0.12739435,-0.15170391,-9.779137
631970150,631969980,-0.0359028,-0.13703905,-9.827989
632020158,632019980,-0.10203329,-0.032651078,-9.658732
632070157,632069978,-0.03273508,-0.14300177,-9.748576
632120149,632119980,-0.020500405,-0.14614007,-9.723294
632165144,632164980,-0.13599129,-0.10779929,-9.837545
632220152,632219980,-0.14551385,-0.08120243,-9.778904
632270147,632269980,-0.09114346,-0.12605871,-9.8096075
632320157,632319980,-0.07743448,-0.08818055,-9.763307
632370145,632369978,-0.020371761,-0.15884976,-9.714636
632420149,632419980,-0.019032659,-0.2076593,-9.795491
632470152,632469979,-0.10275715,-0.035953224,-9.850991
632515140,632514980,-0.15290345,-0.032502368,-9.837795
632570146,632569980,-0.09471046,-0.06761091,-9.806253
632620143,632619980,-0.09152034,-0.11123414,-9.809007
