timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
630506220,0.24438962,0,0,0,0,0,0,0,0,0
631010014,0.23618457,0,0,0,0,0,0,0,0,0
631515985,0.2288295,0,0,0,0,0,0,0,0,0
632021969,0.21891353,0,0,0,0,0,0,0,0,0
632528122,0.20525046,0,0,0,0,0,0,0,0,0
633034004,0.2038863,0,0,0,0,0,0,0,0,0
633539970,0.20277724,0,0,0,0,0,0,0,0,0
634045971,0.1989359,0,0,0,0,0,0,0,0,0
634552003,0.21032438,0,0,0,0,0,0,0,0,0
635058160,0.37838432,0,0,0,0,0,0,0,0,0
635563971,0.021487135,0,0,0,0,0,0,0,0,0
636069970,-0.15179074,0,0,0,0,0,0,0,0,0
636575971,-0.5035879,0,0,0,0,0,0,0,0,0
637081968,-0.47163215,0,0,0,0,0,0,0,0,0
637588148,-0.6052478,0,0,0,0,0,0,0,0,0
638093972,-0.62966096,0,0,0,0,0,0,0,0,0
638599970,-0.5282215,0,0,0,0,0,0,0,0,0
639105993,-0.6319937,0,0,0,0,0,0,0,0,0
639611969,-0.43506745,0,0,0,0,0,0,0,0,0
640118123,-1.0968605,0,0,0,0,0,0,0,0,0
640623972,-1.152782,0,0,0,0,0,0,0,0,0
641129970,-0.8800428,0,0,0,0,0,0,0,0,0
641635971,-0.7381485,0,0,0,0,0,0,0,0,0
642141968,-0.5960585,0,0,0,0,0,0,0,0,0
642648121,-0.52340734,0,0,0,0,0,0,0,0,0
643153997,-0.41560534,0,0,0,0,0,0,0,0,0
643659970,-0.373489,0,0,0,0,0,0,0,0,0
644165971,-0.38644364,0,0,0,0,0,0,0,0,0
644671971,-0.33522585,0,0,0,0,0,0,0,0,0
645178230,-0.28520283,0,0,0,0,0,0,0,0,0
645683971,-0.3275284,0,0,0,0,0,0,0,0,0
646189972,-0.11889168,0,0,0,0,0,0,0,0,0
646410630,0.052650318,0,1,0,0,0,0,0,0,0
646421709,0.052650318,0,1,0,0,0,0,0,0,0
646926972,0.2279586,0,1,0,0,0,0,0,0,0
647433093,0.31571707,0,1,0,0,0,0,0,0,0
647862146,0.43065506,0,1,0,0,0,0,0,0,0
648367984,0.39985344,0,1,0,0,0,0,0,0,0
648874952,0.33007586,0,1,0,0,0,0,0,0,0
649380953,0.29098433,0,1,0,0,0,0,0,0,0
649888074,0.2604055,0,1,0,0,0,0,0,0,0
650395952,0.2347283,0,1,0,0,0,0,0,0,0
650901958,0.21080527,0,1,0,0,0,0,0,0,0
651408073,0.19329111,0,1,0,0,0,0,0,0,0
651914222,0.18097717,0,1,0,0,0,0,0,0,0
652419952,0.16734558,0,1,0,0,0,0,0,0,0
652872539,0.15476076,0,1,0,0,0,0,0,0,0
653381974,0.14577481,0,1,0,0,0,0,0,0,0
