timestamp,voltage5v_v,voltage_payload_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid,payload_v_valid
631048398,4.925528,0.0,3.3141997,3.3026183,3.2950652,3.2987914,15,1,3,1,1,0,0,0,0,0
631548396,4.927542,0.0,3.2993958,3.304834,3.2939575,3.2988923,15,1,3,1,1,0,0,0,0,0
632048405,4.9318724,0.0,3.3008056,3.3064454,3.2962737,3.2978852,15,1,3,1,1,0,0,0,0,0
632548397,4.925528,0.0,3.2849944,3.3039277,3.29859,3.2996979,15,1,3,1,1,0,0,0,0,0
633048398,4.9336853,0.0,3.2866058,3.3071501,3.2953675,3.2969787,15,1,3,1,1,0,0,0,0,0
633548393,4.93439,0.0,3.2852967,3.3040283,3.2943604,3.299295,15,1,3,1,1,0,0,0,0,0
634048396,4.9307647,0.0,3.287613,3.3056395,3.2966766,3.299295,15,1,3,1,1,0,0,0,0,0
634548392,4.9314694,0.0,3.286203,3.3053374,3.295166,3.2986908,15,1,3,1,1,0,0,0,0,0
635048396,4.9271393,0.0,3.2949646,3.3031218,3.2949646,3.2990935,15,1,3,1,1,0,0,0,0,0
635548430,4.930664,0.0,3.2905333,3.3063445,3.2969787,3.2980864,15,1,3,1,1,0,0,0,0,0
636048401,4.935196,0.0,3.2873108,3.306546,3.2970793,3.2994964,15,1,3,1,1,0,0,0,0,0
636548399,4.9305634,0.0,3.2867064,3.3046324,3.2984893,3.2983887,15,1,3,1,1,0,0,0,0,0
637048398,4.9307647,0.0,3.285498,3.304834,3.29859,3.2993958,15,1,3,1,1,0,0,0,0,0
637548392,4.9317718,0.0,3.3045318,3.3056395,3.2966766,3.2974823,15,1,3,1,1,0,0,0,0,0
638048400,4.933081,0.0,3.3151062,3.3040283,3.2978852,3.300705,15,1,3,1,1,0,0,0,0,0
638548392,4.9348936,0.0,3.2878144,3.3064454,3.296878,3.2981873,15,1,3,1,1,0,0,0,0,0
639048429,4.9283476,0.0,3.2997985,3.3056395,3.2965758,3.2990935,15,1,3,1,1,0,0,0,0,0
639548393,4.9287505,0.0,3.285498,3.306546,3.296173,3.2982879,15,1,3,1,1,0,0,0,0,0
640048404,4.9277434,0.0,3.3124878,3.3052368,3.2974823,3.2993958,15,1,3,1,1,0,0,0,0,0
640548397,4.927844,0.0,3.3128905,3.306143,3.2943604,3.3011076,15,1,3,1,1,0,0,0,0,0
641048399,4.9271393,0.0,3.283786,3.3042297,3.2949646,3.2978852,15,1,3,1,1,0,0,0,0,0
641548397,4.92583,0.0,3.2919433,3.3036253,3.2936554,3.299295,15,1,3,1,1,0,0,0,0,0
642048398,4.9315705,0.0,3.287915,3.305841,3.293756,3.2998993,15,1,3,1,1,0,0,0,0,0
642548404,4.9200897,0.0,3.3122864,3.3019135,3.296173,3.2984893,15,1,3,1,1,0,0,0,0,0
643048397,4.9314694,0.0,3.2962737,3.3034241,3.2963746,3.2973816,15,1,3,1,1,0,0,0,0,0
643548433,4.929657,0.0,3.3047333,3.3064454,3.2965758,3.2982879,15,1,3,1,1,0,0,0,0,0
644048398,4.9314694,0.0,3.2852967,3.3053374,3.2953675,3.2974823,15,1,3,1,1,0,0,0,0,0
644548394,4.9328794,0.0,3.2874115,3.3037262,3.294058,3.2994964,15,1,3,1,1,0,0,0,0,0
645048403,4.933383,0.0,3.313394,3.306244,3.2970793,3.2978852,15,1,3,1,1,0,0,0,0,0
645548397,4.929053,0.0,3.2870085,3.3063445,3.2964752,3.2990935,15,1,3,1,1,0,0,0,0,0
646048395,4.9336853,0.0,3.3040283,3.3022156,3.2966766,3.3004029,15,1,3,1,1,0,0,0,0,0
646548429,4.9242187,0.0,3.3047333,3.3073516,3.2975829,3.300604,15,1,3,1,1,0,0,0,0,0
647048435,4.9325776,0.0,3.2976837,3.3025177,3.2977843,3.300302,15,1,3,1,1,0,0,0,0,0
647548398,4.933081,0.0,3.3124878,3.3032227,3.2984893,3.2990935,15,1,3,1,1,0,0,0,0,0
648048399,4.9294553,0.0,3.3019135,3.306848,3.2963746,3.2980864,15,1,3,1,1,0,0,0,0,0
648548393,4.927844,0.0,3.2841887,3.3067474,3.294763,3.2991943,15,1,3,1,1,0,0,0,0,0
649048397,4.932376,0.0,3.2861023,3.3034241,3.294159,3.2963746,15,1,3,1,1,0,0,0,0,0
649548398,4.929053,0.0,3.3139985,3.304129,3.2945616,3.29859,15,1,3,1,1,0,0,0,0,0
650048397,4.9226074,0.0,3.2841887,3.304834,3.2967772,3.2996979,15,1,3,1,1,0,0,0,0,0
650548396,4.926837,0.0,3.2983887,3.305539,3.2970793,3.2957702,15,1,3,1,1,0,0,0,0,0
651048395,4.936505,0.0,3.2926483,3.3056395,3.2971802,3.2978852,15,1,3,1,1,0,0,0,0,0
651548397,4.931973,0.0,3.3067474,3.3049347,3.295871,3.295871,15,1,3,1,1,0,0,0,0,0
652048427,4.9338865,0.0,3.311682,3.304834,3.2974823,3.2993958,15,1,3,1,1,0,0,0,0,0
652548403,4.9303617,0.0,3.3144011,3.3029206,3.2966766,3.2984893,15,1,3,1,1,0,0,0,0,0
653048402,4.9317718,0.0,3.300604,3.3030212,3.29859,3.2980864,15,1,3,1,1,0,0,0,0,0
653548405,4.932376,0.0,3.3161132,3.3033233,3.2972808,3.2984893,15,1,3,1,1,0,0,0,0,0
