timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],flow[0],flow[1],terr_flow[0],terr_flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
638951728,638761215,0.0,0.0,0.0,0.0,0.0,0.0,0.013069407,0.013069463,0.011736186,0.012112794,0.012112953,0.011612557,0.0,12.36821,0.0,0.0,0.0,0.0,0.0,0.0,0.10043046,0.0,0.0,0.0,1.0000174,1.0000174,1.0,0.0,0.0,0.0,0.0,0.0,0.0
639451790,639261188,0.0,0.0,0.0,0.0,0.0,0.0,0.013060214,0.013059545,0.011734743,0.012088202,0.0120881945,0.011609992,0.0,12.368249,0.0,0.0,0.0,0.0,0.0,0.0,0.10043137,0.0,0.0,0.0,1.0000174,1.0000174,1.0,0.0,0.0,0.0,0.0,0.0,0.0
639951756,639761187,0.0,0.0,0.0,0.0,0.0,0.0,0.013138284,0.013137738,0.011736378,0.012099743,0.012099575,0.011611688,0.0,12.368045,0.0,0.0,0.0,0.0,0.0,0.0,0.100432284,0.0,0.0,0.0,1.0000175,1.0000175,1.0,0.0,0.0,0.0,0.0,0.0,0.0
640451741,640261211,0.0,0.0,0.0,0.0,0.0,0.0,0.013144468,0.013144893,0.011736548,0.012110636,0.012110591,0.011612545,0.0,12.368099,0.0,0.0,0.0,0.0,0.0,0.0,0.10043314,0.0,0.0,0.0,1.0000176,1.0000176,1.0,0.0,0.0,0.0,0.0,0.0,0.0
640951771,640761187,0.0,0.0,0.0,0.0,0.0,0.0,0.0132618435,0.013262896,0.011736493,0.012129694,0.012129969,0.011612733,0.0,12.368153,0.0,0.0,0.0,0.0,0.0,0.0,0.10043398,0.0,0.0,0.0,1.0000175,1.0000175,1.0,0.0,0.0,0.0,0.0,0.0,0.0
641451742,641261188,0.0,0.0,0.0,0.0,0.0,0.0,0.0133586405,0.013358808,0.011840949,0.012646911,0.012647176,0.011956421,0.0,12.368279,0.0,0.0,0.0,0.0,0.0,0.0,0.10043857,0.0,0.0,0.0,1.0000176,1.0000176,1.0,0.0,0.0,0.0,0.0,0.0,0.0
641951737,641761211,0.0,0.0,0.0,0.0,0.0,0.0,0.013082303,0.013082987,0.01174135,0.01220806,0.012208059,0.011714144,0.0,12.368107,0.0,0.0,0.0,0.0,0.0,0.0,0.10043933,0.0,0.0,0.0,1.0000174,1.0000174,1.0,0.0,0.0,0.0,0.0,0.0,0.0
642451767,642261188,0.0,0.0,0.0,0.0,0.0,0.0,0.013133705,0.013130236,0.011739562,0.0121108685,0.012110721,0.011632793,0.0,12.368079,0.0,0.0,0.0,0.0,0.0,0.0,0.10044009,0.0,0.0,0.0,1.0000175,1.0000175,1.0,0.0,0.0,0.0,0.0,0.0,0.0
642951755,642761191,0.0,0.0,0.0,0.0,0.0,0.0,0.01322185,0.0132152,0.01174742,0.012111649,0.012110816,0.011613846,0.0,12.36811,0.0,0.0,0.0,0.0,0.0,0.0,0.100440666,0.0,0.0,0.0,1.0000176,1.0000176,1.0,0.0,0.0,0.0,0.0,0.0,0.0
643451733,643261211,0.0,0.0,0.0,0.0,0.0,0.0,0.013137353,0.0131366365,0.011748225,0.01211667,0.012115868,0.011613702,0.0,12.368105,0.0,0.0,0.0,0.0,0.0,0.0,0.10044104,0.0,0.0,0.0,1.0000175,1.0000175,1.0,0.0,0.0,0.0,0.0,0.0,0.0
