timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],n_states
631441785,631251188,0.7124666,0.005968527,-0.0003001763,0.7016806,-0.0014799451,-0.0017885368,0.02466825,0.24942534,2.8080184,-0.71826553,-0.00025216906,0.00013445705,-8.824902e-05,-0.006498829,0.002731444,-0.02057498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8206672e-05,1.8221233e-05,0.00041300486,0.004073641,0.004073409,0.0021085653,0.0044037425,0.004403593,0.0030833122,1.8411689e-07,1.8393884e-07,4.343899e-07,0.0006779291,0.00067964784,1.1289737e-05,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,1.0,1.0,24
632441618,632251213,0.71248615,0.005965592,-0.00027495372,0.7016609,-0.0013878033,-0.0019453499,0.025906082,0.24920894,2.8092923,-0.7283174,-0.00025328546,0.000137004,-8.8444685e-05,-0.0066355825,0.002751826,-0.020468408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8384293e-05,1.8399513e-05,0.00042061892,0.0050028823,0.0050026225,0.0024905475,0.0020294506,0.0020294227,0.0016428719,1.8402001e-07,1.8386262e-07,4.3548005e-07,0.0006778044,0.0006796336,1.1310871e-05,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,1.0,1.0,24
633441616,633251188,0.7124865,0.005987632,-0.00029826094,0.70166034,-0.0019176983,-0.0011227777,0.017038869,0.2465934,2.8097703,-0.7292585,-0.00025334634,0.00014171016,-8.6898086e-05,-0.0068555777,0.0027821187,-0.020295868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7146569e-05,1.7163618e-05,0.00042114995,0.003255053,0.0032549447,0.0019337247,0.0019447762,0.001944748,0.0015535271,1.8068782e-07,1.8055466e-07,4.334843e-07,0.00067766407,0.0006797185,1.1260397e-05,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,1.0,1.0,24
634441665,634251188,0.7125133,0.0059142313,-0.00033655105,0.7016337,-0.0025810746,-0.0033305064,0.015019151,0.24827543,2.808684,-0.729985,-0.00024988173,0.00014289416,-8.516908e-05,-0.00700069,0.002802059,-0.02018078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7097922e-05,1.7116748e-05,0.0004216034,0.0025982794,0.0025981995,0.0015926714,0.0017938787,0.0017938567,0.001489732,1.8060578e-07,1.8048941e-07,4.3155728e-07,0.0006775553,0.000679804,1.1227615e-05,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,1.0,1.0,24
635441609,635251211,0.7127567,0.0045741857,-0.0027869064,0.701391,-0.008210638,-0.03501971,-0.086465806,0.23913373,2.8090448,-0.7439847,-0.00024503906,0.00014389488,-8.362881e-05,-0.007112536,0.0028158233,-0.020091537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7825487e-05,1.7845645e-05,0.00042371766,0.0031081853,0.003107858,0.0017086929,0.0020121662,0.0020121702,0.0015592076,1.8315508e-07,1.8304938e-07,4.3376372e-07,0.0006775053,0.0006798911,1.1230121e-05,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,1.0,1.0,24
636441605,636251188,0.69434434,0.004517166,-0.0019823287,0.71962607,-0.056810096,0.0003525752,-0.061481092,0.24360424,2.7958608,-0.7922519,-0.0001939893,0.00018399474,-8.5545624e-05,-0.0068573486,0.002828724,-0.02028648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.769518e-05,1.77172e-05,0.0004257369,0.0031366562,0.003138283,0.0017206296,0.0020768845,0.0020770316,0.0015827423,1.8318607e-07,1.8307749e-07,4.35851e-07,0.0006774631,0.00067997194,1.12245725e-05,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,1.0,1.0,24
637441640,637251188,0.72102684,0.012599672,0.0177361,0.69256556,0.13466318,-0.009604027,-0.1336737,0.34689504,2.8177621,-0.8879656,-0.00017588967,0.0002008444,-8.347965e-05,-0.006344848,0.0030612652,-0.020716595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7504743e-05,1.752722e-05,0.00042762785,0.0031207777,0.0031263179,0.0017224887,0.002085541,0.0020866182,0.0015879791,1.8311682e-07,1.8302012e-07,4.3780796e-07,0.0006773776,0.0006799776,1.1218e-05,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,1.0,1.0,24
638441614,638251211,0.7190313,0.016671825,0.0012374051,0.69477665,-0.041500695,-0.06282526,-0.24979073,0.31902853,2.7780209,-1.0072058,-0.00024268476,0.00023815292,-7.441032e-05,-0.0059388992,0.0031466794,-0.021165518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7391461e-05,1.7414308e-05,0.00042936468,0.0031210452,0.0031225248,0.0017232609,0.0020784934,0.002078349,0.0015885526,1.8328092e-07,1.8319282e-07,4.3962658e-07,0.0006773629,0.0006800385,1.1212941e-05,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,1.0,1.0,24
639441613,639251188,0.71557176,0.015071704,-0.000761856,0.69837624,-0.009540976,-0.010447554,0.19449629,0.26989067,2.7585127,-0.9227703,-0.0002787196,0.00026501904,-6.7155546e-05,-0.0057093934,0.0028892471,-0.021481026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.741603e-05,1.7439314e-05,0.0004311645,0.0030236044,0.0030230156,0.0017223266,0.0020489907,0.0020489877,0.0015862938,1.8367457e-07,1.8357176e-07,4.4140359e-07,0.0006773445,0.00068002834,1.1209265e-05,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,1.0,1.0,24
640441634,640251188,0.7116554,0.00699004,0.004948008,0.7024766,0.018449036,0.023783028,0.0063977893,0.2710726,2.8340428,-0.89475524,-0.00030013052,0.0003378208,-6.4530584e-05,-0.0057669324,0.0024951943,-0.021582678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7564527e-05,1.7583294e-05,0.00043293563,0.0031068753,0.0031074092,0.001723967,0.0020704635,0.0020704162,0.0015885386,1.841028e-07,1.8402919e-07,4.4310843e-07,0.0006772543,0.00067985675,1.120643e-05,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,1.0,1.0,24
