timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
630555902,630529757,4395041,-0.20895442,-0.076966554,0.31591657,3
630605905,630604757,4395041,-0.26808688,-0.117346175,0.29768142,3
630705904,630679757,4395041,-0.31581578,-0.03434535,0.2695359,3
630755901,630754757,4395041,-0.2507115,-0.050229523,0.30055925,3
630855901,630829767,4395041,-0.2125657,-0.07487829,0.2931072,3
630905904,630904757,4395041,-0.2217478,-0.057870943,0.28285992,3
631005907,630979757,4395041,-0.24341562,-0.05573085,0.27737886,3
631055901,631054757,4395041,-0.22563899,-0.02780872,0.27017307,3
631155922,631129767,4395041,-0.21800493,-0.070966825,0.2786733,3
631205904,631204757,4395041,-0.24335515,-0.061324652,0.27532908,3
631305905,631279757,4395041,-0.23429136,-0.06707966,0.28136456,3
631355901,631354757,4395041,-0.23976825,-0.061431617,0.28363428,3
631455900,631429757,4395041,-0.23438175,-0.05772712,0.2812627,3
631505929,631504778,4395041,-0.22520871,-0.07279717,0.28313252,3
631605903,631579756,4395041,-0.23604128,-0.07270482,0.28564006,3
631655899,631654756,4395041,-0.23596624,-0.080202006,0.28777832,3
631755898,631729756,4395041,-0.22153507,-0.08036652,0.28935796,3
631805903,631804756,4395041,-0.22159234,-0.0727675,0.27465346,3
631905903,631879765,4395041,-0.23056892,-0.078369945,0.28547263,3
631955898,631954756,4395041,-0.23239896,-0.07649957,0.28764197,3
632055900,632029756,4395041,-0.22876418,-0.07838823,0.28540513,3
632105903,632104756,4395041,-0.22882655,-0.072795354,0.28747258,3
632205925,632179765,4395041,-0.23238114,-0.07835424,0.2855891,3
632255899,632254756,4395041,-0.23604563,-0.072722234,0.28774258,3
632355899,632329756,4395041,-0.2306068,-0.0746135,0.2833681,3
632405903,632404756,4395041,-0.22885528,-0.06901991,0.28323314,3
632505902,632479756,4395041,-0.22515471,-0.07842481,0.2852698,3
632555918,632554774,4395041,-0.2252542,-0.06909114,0.28730318,3
632655899,632629756,4395041,-0.2360642,-0.07085185,0.2877254,3
632705903,632704756,4395041,-0.23593077,-0.08391143,0.2836732,3
632805902,632779756,4395041,-0.23238117,-0.07835428,0.2855894,3
632855898,632854756,4395041,-0.23607251,-0.068978354,0.2876421,3
632955899,632929765,4395041,-0.22703548,-0.07094166,0.28735483,3
633005902,633004756,4395041,-0.22514278,-0.08031347,0.28740636,3
633105904,633079756,4395041,-0.22881044,-0.07466659,0.2875063,3
633155898,633154756,4395041,-0.2361181,-0.0651759,0.27936044,3
633255918,633229765,4395041,-0.23068781,-0.06715013,0.2854187,3
