timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
630559547,630559463,3407890,0.56548053,-0.018255789,-10.047492,33.75604,0,0,0,0,8
630560796,630560713,3407890,0.729633,-0.7847744,-9.663073,33.75604,0,0,0,0,8
630662069,630661985,3407890,0.5841104,-1.2192472,-9.533262,33.786232,0,0,0,0,8
630760793,630760711,3407890,0.065466456,-0.13018471,-9.758542,33.9372,0,0,0,0,8
630862068,630861983,3407890,-0.06599019,-0.23859717,-10.501268,33.876812,0,0,0,0,8
630963299,630963212,3407890,0.21233577,-0.29747957,-9.7533045,33.75604,0,0,0,0,8
631062066,631061982,3407890,0.21450551,-0.3298013,-10.833987,33.75604,0,0,0,0,8
631163305,631163214,3407890,0.5383213,-0.2284218,-9.454029,33.9372,0,0,0,0,8
631260793,631260711,3407890,-0.030226797,0.017208325,-10.776676,33.9221,0,0,0,0,8
631362070,631361984,3407890,-0.6514473,1.1114333,-8.992995,33.75604,0,0,0,0,8
631460792,631460711,3407890,-0.6393267,-0.70958155,-9.868975,33.9372,0,0,0,0,8
631562071,631561980,3407890,-0.398169,0.6802193,-9.798669,33.876812,0,0,0,0,9
631663309,631663220,3407890,0.5426608,-0.49043727,-10.255937,33.831524,0,0,0,0,8
631762064,631761980,3407890,0.57161564,0.7290344,-10.055347,33.907005,0,0,0,0,8
631863296,631863211,3407890,0.39332244,-0.87635267,-10.256162,33.831524,0,0,0,0,8
631960793,631960711,3407890,-0.18315643,-0.28491,-10.34774,33.831524,0,0,0,0,8
632062067,632061980,3407890,-0.48722005,0.14522329,-10.355371,33.9372,0,0,0,0,8
632160791,632160711,3407890,-0.5294179,-0.15090953,-10.1474495,33.9372,0,0,0,0,8
632262069,632261979,3407890,-0.3290032,-0.8671,-9.321757,33.816425,0,0,0,0,9
632363298,632363212,3407890,0.96202016,0.46484923,-10.231397,33.84662,0,0,0,0,8
632462064,632461979,3407890,-0.11956045,0.56750065,-10.5919485,33.823975,0,0,0,0,8
632563293,632563211,3407890,1.3486197,-0.99838215,-10.583484,33.781918,0,0,0,0,7
632660793,632660712,3407890,0.058882397,0.30735564,-9.296611,33.876812,0,0,0,0,8
632762065,632761980,3407890,0.6964134,-0.3931728,-10.062306,33.9372,0,0,0,0,8
632860793,632860711,3407890,0.46739307,0.3024176,-10.264167,33.786232,0,0,0,0,8
632962062,632961979,3407890,-0.6180033,1.3517513,-10.174534,33.816425,0,0,0,0,8
