timestamp,timestamp_last_signal,rssi,rssi_dbm,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source,link_quality
631059298,631058736,40,nan,0,62006,0,1500,1500,1050,1950,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
631560195,631559635,40,nan,0,62053,0,1500,1500,1050,1923,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
632048457,632047896,40,nan,0,62103,0,1500,1500,1426,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
632548186,632547593,40,nan,0,62153,0,1500,1500,1500,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
633056506,633055945,40,nan,0,62202,0,1500,1500,1568,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
633556791,633556230,40,nan,0,62250,0,1500,1500,1639,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
634066027,634065467,40,nan,0,62299,0,1500,1500,1675,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
634565211,634564651,40,nan,0,62348,0,1500,1500,1665,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
635050368,635049785,40,nan,0,62395,0,1500,1500,1650,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
635550155,635549523,40,nan,0,62444,0,1500,1500,1632,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
636058179,636057594,40,nan,0,62496,0,1500,1500,1644,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
636558459,636557895,40,nan,0,62545,0,1500,1500,1680,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
637045197,637044625,40,nan,0,62592,0,1500,1500,1710,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
637545222,637544662,40,nan,0,62641,0,1500,1500,1716,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
638051858,638051165,40,nan,0,62690,0,1500,1500,1716,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
638551893,638551227,40,nan,0,62738,0,1500,1500,1653,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
639059404,639058844,40,nan,0,62786,0,1500,1500,1502,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
639559850,639559283,40,nan,0,62836,0,1500,1500,1500,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
640046176,640045616,40,nan,0,62885,0,1500,1500,1555,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
640545729,640545151,40,nan,0,62934,0,1500,1500,1705,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
641054736,641054165,40,nan,0,62983,0,1500,1500,1598,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
641555196,641554634,40,nan,0,63032,0,1500,1500,1500,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
642064075,642063502,40,nan,0,63081,0,1500,1500,1500,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
642564699,642564140,40,nan,0,63129,0,1500,1500,1619,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
643051966,643051188,40,nan,0,63175,0,1500,1500,1521,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
643553155,643552594,40,nan,0,63226,0,1500,1500,1500,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
644060489,644059928,40,nan,0,63276,0,1500,1562,1500,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
644560507,644559947,40,nan,0,63323,0,1500,1648,1500,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
645047784,645047218,40,nan,0,63370,0,1500,1696,1500,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
645547751,645547186,40,nan,0,63419,0,1500,1698,1500,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
646055207,646054633,40,nan,0,63468,0,1500,1701,1500,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
646555189,646554614,40,nan,0,63517,0,1500,1500,1500,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
647064410,647063849,40,nan,0,63567,0,1500,1500,1414,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
647565153,647564497,40,nan,0,63618,0,1500,1500,1500,1500,1500,1050,1050,1500,1050,1050,1050,1950,1050,1500,1950,1950,998,998,18,0,0,4,-1
648060501,648059940,40,nan,0,63667,0,1500,1500,1500,1500,1500,1050,1050,1500,1050,1050,1050,1950,1950,1500,1950,1950,998,998,18,0,0,4,-1
648561047,648560452,40,nan,0,63715,0,1500,1500,1500,1500,1500,1050,1050,1500,1050,1050,1050,1950,1950,1500,1950,1950,998,998,18,0,0,4,-1
649046791,649046156,40,nan,0,63761,0,1500,1500,1500,1500,1500,1050,1050,1500,1050,1050,1050,1950,1950,1500,1950,1950,998,998,18,0,0,4,-1
649546526,649545811,40,nan,0,63810,0,1500,1500,1500,1500,1500,1050,1050,1500,1050,1050,1050,1950,1950,1500,1950,1950,998,998,18,0,0,4,-1
650054850,650054290,40,nan,0,63858,0,1500,1500,1500,1500,1500,1050,1050,1500,1050,1050,1050,1950,1950,1500,1950,1950,998,998,18,0,0,4,-1
