timestamp,load,ram_usage
630343588,0.3766585,0.4758918
630843635,0.4587949,0.47594434
631343713,0.42947084,0.47594434
631843599,0.4325459,0.47594434
632343564,0.4012649,0.47594434
632843570,0.4009416,0.47594434
633343595,0.40172124,0.47594434
633843564,0.40074122,0.47594434
634343629,0.39764118,0.47594434
634843565,0.4006496,0.47594434
635343569,0.39813882,0.47594434
635843564,0.4011004,0.47594434
636343564,0.39742482,0.47594434
636843574,0.39943224,0.47594434
637343568,0.3978964,0.47594434
637843626,0.39945477,0.47594434
638343598,0.39841038,0.47594434
638843563,0.39999682,0.47594434
639343570,0.39876682,0.47594434
639843579,0.39936566,0.47594434
640343563,0.39821142,0.47594434
640843571,0.39770448,0.47594434
641343628,0.3983258,0.47594434
641843562,0.39756918,0.47594434
642343561,0.39890403,0.47594434
642843562,0.39992082,0.47594434
643343599,0.3993892,0.47594434
643843564,0.39887196,0.47594434
644343565,0.398848,0.47594434
644843656,0.39909953,0.47594434
645343564,0.39895463,0.47594434
645843567,0.39983797,0.47594434
646343569,0.39826083,0.47594434
646843566,0.40099323,0.47594434
647343570,0.397972,0.47594434
647843574,0.4001181,0.47594434
648343673,0.40017188,0.47594434
648843587,0.39871162,0.47594434
649343557,0.3977964,0.47594434
649843615,0.3969074,0.47594434
650343571,0.396024,0.47594434
650843568,0.39597082,0.47594434
651343606,0.39748675,0.47594434
651843628,0.39581102,0.47594434
652343559,0.3974712,0.47594434
652843565,0.39625877,0.47594434
653343614,0.48665404,0.47594434
653843576,0.415614,0.47594434
