timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
630568791,0.0,0.0,0.0,0.0
630570082,0.0,0.0,0.0,0.0
630591280,0.0,0.0,0.0,0.0
630611296,0.0,0.0,0.0,0.0
630628786,0.0,0.0,0.0,0.0
630650082,0.0,0.0,0.0,0.0
630671287,0.0,0.0,0.0,0.0
630692538,0.0,0.0,0.0,0.0
630710077,0.0,0.0,0.0,0.0
630731288,0.0,0.0,0.0,0.0
630751312,0.0,0.0,0.0,0.0
630768787,0.0,0.0,0.0,0.0
630790090,0.0,0.0,0.0,0.0
630811320,0.0,0.0,0.0,0.0
630832539,0.0,0.0,0.0,0.0
630850083,0.0,0.0,0.0,0.0
630870075,0.0,0.0,0.0,0.0
630891279,0.0,0.0,0.0,0.0
630908786,0.0,0.0,0.0,0.0
630930081,0.0,0.0,0.0,0.0
630951288,0.0,0.0,0.0,0.0
630972537,0.0,0.0,0.0,0.0
630990088,0.0,0.0,0.0,0.0
631011289,0.0,0.0,0.0,0.0
631031290,0.0,0.0,0.0,0.0
631048785,0.0,0.0,0.0,0.0
631070083,0.0,0.0,0.0,0.0
631091285,0.0,0.0,0.0,0.0
631112538,0.0,0.0,0.0,0.0
631130083,0.0,0.0,0.0,0.0
631151289,0.0,0.0,0.0,0.0
631171311,0.0,0.0,0.0,0.0
631188786,0.0,0.0,0.0,0.0
631210085,0.0,0.0,0.0,0.0
631231319,0.0,0.0,0.0,0.0
631252539,0.0,0.0,0.0,0.0
631270074,0.0,0.0,0.0,0.0
631291304,0.0,0.0,0.0,0.0
631311295,0.0,0.0,0.0,0.0
631328784,0.0,0.0,0.0,0.0
631350075,0.0,0.0,0.0,0.0
631371284,0.0,0.0,0.0,0.0
631392539,0.0,0.0,0.0,0.0
631410074,0.0,0.0,0.0,0.0
631431288,0.0,0.0,0.0,0.0
631451292,0.0,0.0,0.0,0.0
631468786,0.0,0.0,0.0,0.0
631490092,0.0,0.0,0.0,0.0
631510085,0.0,0.0,0.0,0.0
631532536,0.0,0.0,0.0,0.0
631550078,0.0,0.0,0.0,0.0
631571283,0.0,0.0,0.0,0.0
631591309,0.0,0.0,0.0,0.0
631608783,0.0,0.0,0.0,0.0
631630077,0.0,0.0,0.0,0.0
631651311,0.0,0.0,0.0,0.0
631672536,0.0,0.0,0.0,0.0
