timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
630551846,nan,nan,nan,-0.00050038146,-0.00042276317,0.6153816,0.074037164,0.062552646,0.16132,nan,nan,8.0,nan,2.6179934
630571725,nan,nan,nan,-0.00054985425,-0.00050406426,0.61696213,0.07279428,0.06673226,0.159024,nan,nan,8.0,nan,2.6179934
630751838,nan,nan,nan,-0.0012104216,-0.0006046911,0.6313806,0.10281372,0.051362716,0.161216,nan,nan,8.0,nan,2.6179934
630971685,0.24752502,2.8073347,nan,0.0,0.0,0.64895624,0.0,0.0,0.160016,nan,nan,8.0,nan,2.6179934
631161831,nan,nan,nan,-0.0003622808,-0.0012926245,0.6637687,0.024319764,0.08677334,0.081088,nan,nan,8.0,nan,2.6179934
631361825,nan,nan,nan,-0.00029528874,-0.0002051713,0.6813627,0.071343906,0.0495709,0.159944,nan,nan,8.0,nan,2.6179936
631561821,nan,nan,nan,-0.00016142854,-0.0016745571,0.6972775,0.0076956623,0.079829924,0.0802,nan,nan,8.0,nan,2.498953
631751700,nan,nan,nan,5.079774e-05,-0.00036917056,0.7,-0.011923112,0.08665057,0.0,nan,nan,0.0,nan,1.1061544
631951833,nan,nan,nan,-0.00060929963,-0.0007018616,0.69517714,0.06856947,0.07898622,-0.161352,nan,nan,-8.0,nan,0.12971112
632151787,nan,nan,-0.7160473,-0.00019498065,-0.00039664225,0.6791839,0.039715793,0.08079241,-0.160784,nan,nan,-8.0,nan,0.013933815
632371708,nan,nan,-0.7151135,-0.00090663985,-0.0012649688,0.6615964,0.069222674,0.09658139,-0.15928,nan,nan,-8.0,nan,0.0011978694
632571669,nan,nan,-0.7141786,-0.0008675902,-0.0009357339,0.6456022,0.076373376,0.082372,-0.15874399,nan,nan,-8.0,nan,0.00012866953
632771669,nan,nan,-0.7137309,-0.00067217014,-0.0016445345,0.6296023,0.046683375,0.114215754,-0.159008,nan,nan,-8.0,nan,1.3816092e-05
632971701,nan,nan,-0.7139616,-0.0004965058,-0.0025844953,0.6128171,0.026283111,0.13681324,-0.158464,nan,nan,-8.0,nan,1.4976339e-06
633151855,nan,nan,nan,-0.00030628662,-0.0005361519,0.5983921,0.04745146,0.08306331,-0.160944,nan,nan,-8.0,nan,2.0069818e-07
633351795,nan,nan,nan,-0.00043766433,-0.00041121733,0.58240145,0.069313884,0.06512541,-0.16084,nan,nan,-8.0,1.5554284,2.1562823e-08
633551868,nan,nan,nan,-0.0009596816,-0.00017304579,0.5663896,0.104139864,0.018778067,-0.161432,nan,nan,-8.0,1.5554302,2.313633e-09
633771664,0.2459742,2.8091903,nan,0.0,0.0,0.4592204,0.0,0.0,-1.2800081,nan,nan,-8.0,1.5554209,1.9914054e-10
