timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
630563467,630373212,67138051,4.8620648e-05,0.0016556834,0.0019042159,0,0.056118034,0.036032885,0.0026454092,nan,0.008710018,0.028316563,0.0,nan,0.0,0.0,3407890,3407890,6780433,4395041,nan,nan,nan,nan,0,0,895,3,1,4,2,1,0,0,0,0,0,0,0
630573475,630383212,67138051,4.7900256e-05,0.0016165895,0.0018926224,0,0.056638695,0.03629684,0.0026454092,nan,0.008710018,0.028316563,0.0,nan,0.0,0.0,3407890,3407890,6780433,4395041,nan,nan,nan,nan,0,0,895,3,1,4,2,1,0,0,0,0,0,0,0
630763471,630573212,67138051,7.317801e-05,0.002289501,0.0027050988,0,0.056079417,0.03602015,0.0030742956,nan,0.007656175,0.032588124,0.0,nan,0.0,0.0,3407890,3407890,6780433,4395041,nan,nan,nan,nan,0,0,895,3,1,4,2,1,0,0,0,0,0,0,0
630963471,630773212,67138051,0.00013388004,0.0019461862,0.0029756625,0,0.06613214,0.041240808,0.0030742956,nan,0.007656175,0.03090553,0.0,nan,0.0,0.0,3407890,3407890,6780433,4395041,nan,nan,nan,nan,0,0,895,3,1,4,2,1,0,0,0,0,0,0,0
631163610,630973212,17783849475,4.4565746e-05,0.0022543874,0.003761636,0,0.07712551,0.04692303,0.0,nan,nan,0.02810084,0.0,nan,0.0,0.0,3407890,3407890,6780433,4395041,nan,nan,nan,nan,0,0,229,3,1,4,2,1,0,0,0,0,0,0,0
631363604,631173215,17783849475,5.452351e-05,0.0022761575,0.0040095565,0,0.0886962,0.05292764,0.0,nan,nan,0.024016252,0.0,nan,0.0,0.0,3407890,3407890,6780433,4395041,nan,nan,nan,nan,0,0,229,3,1,4,2,1,0,0,0,0,0,0,0
631563585,631373214,17783849475,1.7705992e-05,0.0021412873,0.003919835,0,0.100535035,0.059142873,0.0,nan,nan,0.02497724,0.0,nan,0.0,0.0,3407890,3407890,6780433,4395041,nan,nan,nan,nan,0,0,229,3,1,4,2,1,0,0,0,0,0,0,0
631763472,631573211,67129859,2.2987328e-05,0.001781245,0.0024798417,0,0.100157,0.070752874,0.0,nan,0.003769825,0.012956899,0.0,nan,0.0,0.0,3407890,3407890,6780433,4395041,nan,nan,nan,nan,0,0,895,3,1,5,3,1,0,0,0,0,0,0,0
631963481,631773211,67138051,2.4653604e-05,0.0007460702,0.017592475,0,0.10016744,0.05053997,0.0038386548,nan,0.0012050172,0.0495813,0.0,nan,0.0,0.0,3407890,3407890,6780433,4395041,nan,nan,nan,nan,0,0,895,3,1,6,3,1,0,0,0,0,0,0,0
632163467,631973211,67138051,3.2847212e-05,0.0019202348,0.013866287,0,0.07232377,0.042541113,0.0039183744,nan,0.0008720209,0.031066112,0.0,nan,0.0,0.0,3407890,3407890,6780433,4395041,nan,nan,nan,nan,0,0,895,3,1,6,3,1,0,0,0,0,0,0,0
632363503,632173216,67138051,3.9633233e-05,0.0026572458,0.009134963,0,0.062467106,0.03888188,0.0035978935,nan,0.0012633803,0.029674351,0.0,nan,0.0,0.0,3407890,3407890,6780433,4395041,nan,nan,nan,nan,0,0,895,3,1,6,3,1,0,0,0,0,0,0,0
632563502,632373212,67138051,5.4486307e-05,0.0030457855,0.005675986,0,0.05897227,0.037364982,0.002647598,nan,0.0076900586,0.03166402,0.0,nan,0.0,0.0,3407890,3407890,6780433,4395041,nan,nan,nan,nan,0,0,895,3,1,6,3,1,0,0,0,0,0,0,0
