timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
630846384,630846188,3407898,3407898,-1.328406e-05,-6.30923e-06,8.537563e-06,-0.0001307598,-0.0010855339,-0.048282634,4969,4969,0,0,1,1
631346384,631346188,3407898,3407898,-7.876612e-06,1.2886377e-05,-3.792016e-05,-0.0013810921,-0.00032769947,-0.04903615,4976,4976,0,0,1,1
631846412,631846211,3407898,3407898,7.301198e-05,-2.2984485e-05,-2.275149e-05,6.0055358e-05,-0.0004055652,-0.048863452,5023,5023,0,0,1,1
632346375,632346187,3407898,3407898,2.2389851e-05,2.0104477e-05,1.9774109e-06,-0.00040596948,-0.00071076065,-0.048683617,4976,4976,0,0,1,1
632841381,632841188,3407898,3407898,-4.3146552e-05,-1.9789302e-05,-6.058706e-06,-0.000983877,-0.00068388187,-0.049470667,4978,4978,0,0,1,1
633341380,633341187,3407898,3407898,-3.8191207e-05,1.4173472e-05,-2.049508e-05,-0.00020796756,0.00062866317,-0.048964772,4999,4999,0,0,1,1
633846368,633846186,3407898,3407898,4.8245372e-05,3.875859e-05,-2.5095465e-05,-0.0013948695,0.0015975233,-0.050143097,4974,4974,0,0,1,1
634346373,634346188,3407898,3407898,-8.357912e-06,-2.5119281e-05,-4.3521368e-07,-0.0022243948,-0.00096449413,-0.05010004,5001,5001,0,0,1,1
634846395,634846210,3407898,3407898,-5.3837863e-05,-9.2088034e-05,3.5519588e-05,0.006959096,0.016312325,-0.05621241,5022,5022,0,0,1,1
635346386,635346188,3407898,3407898,-8.372681e-05,1.4314852e-05,0.0003690059,-0.005208317,0.0025925643,-0.046412565,4977,4977,0,0,1,1
635846386,635846188,3407898,3407898,0.0005365088,0.0008356402,0.0007716913,0.00029430236,0.007526432,-0.05201999,5000,5000,0,0,1,1
636341379,636341188,3407898,3407898,-0.00012687758,-0.00011521292,-0.0005544199,0.0022595755,-0.0043893964,-0.04648851,5000,5000,0,0,1,1
636841397,636841210,3407898,3407898,0.0006851426,-0.00022949926,-0.0005571711,-0.006330639,-0.010747541,-0.049464233,5023,5023,0,0,1,1
637346382,637346187,3407898,3407898,-0.00037268034,-0.00015987249,0.00028564016,0.002274196,-0.0014350576,-0.053824555,4999,4999,0,0,1,1
637846407,637846210,3407898,3407898,-0.00030940486,-0.00029946415,-4.7257e-05,0.0053404816,0.0061175902,-0.053048577,5022,5022,0,0,1,1
638346379,638346188,3407898,3407898,-9.601913e-05,-0.0001408221,-0.00018642141,0.004954928,0.002362287,-0.05066107,4977,4977,0,0,1,1
638846369,638846186,3407898,3407898,7.4185205e-05,-0.00013671638,0.0001613532,-0.0036130957,0.0008477284,-0.04289716,4998,4998,0,0,1,1
639346406,639346211,3407898,3407898,0.0001375275,4.6642173e-05,0.0002575792,0.005983881,0.0005765618,-0.047551323,5024,5024,0,0,1,1
639841404,639841211,3407898,3407898,9.53342e-05,0.00010657756,-9.109655e-06,0.007417273,0.001061749,-0.057770774,5024,5024,0,0,1,1
640341386,640341188,3407898,3407898,-0.00014794439,-0.00018098093,-1.6444861e-05,-0.0046245335,0.0014705693,-0.052782718,4977,4977,0,0,1,1
640846414,640846211,3407898,3407898,-0.00014787231,3.3396507e-05,-3.8338807e-05,0.0004676259,-0.0076476685,-0.046493895,5023,5023,0,0,1,1
641346375,641346187,3407898,3407898,9.264221e-05,-8.4916195e-05,-1.5193204e-05,-0.0062007317,0.0010412975,-0.046253283,4976,4976,0,0,1,1
641846383,641846187,3407898,3407898,-2.52104e-05,-1.4054463e-05,-1.1285381e-05,-0.0017203953,0.0070663826,-0.054811053,4999,4999,0,0,1,1
642346405,642346210,3407898,3407898,0.00010649949,0.0001470421,0.000112682406,-0.0022266675,-0.0014309143,-0.045269668,5022,5022,0,0,1,1
642846377,642846187,3407898,3407898,-0.00013677859,0.00020970566,0.00015968792,-0.004630076,0.0072873035,-0.049546782,4976,4976,0,0,1,1
643341382,643341188,3407898,3407898,-1.7716824e-05,9.189431e-05,-0.0001641173,-0.00041686202,-0.0016929408,-0.05050969,4978,4978,0,0,1,1
643841384,643841188,3407898,3407898,-6.796792e-05,0.00014300235,-0.0003944657,-0.0023146765,0.009627798,-0.052041925,5000,5000,0,0,1,1
644346372,644346187,3407898,3407898,0.00017125517,0.00053654844,0.00015041296,-0.0031961636,0.0042246776,-0.049179796,4976,4976,0,0,1,1
644846374,644846188,3407898,3407898,0.00025072767,0.00020205363,-0.00010737946,0.00050353725,-0.009577447,-0.04936549,5000,5000,0,0,1,1
645346399,645346210,3407898,3407898,8.793358e-05,-3.5966303e-05,-2.3878503e-05,0.0043071373,-0.0011555023,-0.04800243,5022,5022,0,0,1,1
645846382,645846188,3407898,3407898,0.004654958,0.003585765,0.0019213572,-0.009170056,-0.0004422697,-0.026444241,4978,4978,0,0,1,1
646346383,646346188,3407898,3407898,0.037656724,-0.001116192,0.0069674947,-0.032763988,-0.06896672,0.10228259,5000,5000,0,0,1,1
646841375,646841187,3407898,3407898,-0.0079801055,-0.00019470422,0.0025052854,-0.008597528,0.030118588,0.05236379,5000,5000,0,0,1,1
647341414,647341211,3407898,3407898,-0.0013234451,0.00020549743,-0.00031752023,0.011882589,0.010800315,0.035510033,5024,5024,0,0,1,1
647846389,647846188,3407898,3407898,-0.00054012414,8.646477e-06,-6.004611e-05,-0.0023164891,0.042690232,0.037644006,5001,5001,0,0,1,1
648346403,648346210,3407898,3407898,0.0006835558,-0.0005644066,0.0026622787,0.00452905,0.029182306,0.038958937,5022,5022,0,0,1,1
648846381,648846188,3407898,3407898,-5.518817e-05,-0.00038680568,0.0016480929,0.001335928,0.03388284,0.042539272,4977,4977,0,0,1,1
649346416,649346187,3407898,3407898,-3.501248e-05,-0.00022739914,0.001208197,0.0006021272,0.032523077,0.040154174,4999,4999,0,0,1,1
649846333,649846210,3407898,3407898,-7.314002e-06,-0.00012075557,0.0008212133,0.001208172,0.030651992,0.038217653,5023,5023,0,0,1,1
650341356,650341211,3407898,3407898,4.0228242e-05,-4.777159e-05,0.00049373496,0.0015350374,0.030189129,0.03770261,5023,5023,0,0,1,1
650841312,650841188,3407898,3407898,4.9754344e-05,1.1617081e-05,9.260784e-05,0.0018062437,0.030595953,0.037895985,4978,4978,0,0,1,1
651346341,651346210,3407898,3407898,1.7679447e-05,6.768963e-05,-0.00028423895,0.0017368335,0.030835828,0.038703516,5019,5019,0,0,1,1
651846315,651846187,3407898,3407898,4.1077632e-07,8.19125e-05,-0.00039297328,0.0013751722,0.030766156,0.039017837,4976,4976,0,0,1,1
652346319,652346188,3407898,3407898,-8.575948e-06,7.305008e-05,-0.00035015392,0.001224978,0.030215317,0.039201528,5001,5001,0,0,1,1
652846340,652846210,3407898,3407898,-2.5890893e-05,4.5581248e-05,-0.00018440252,0.0009176071,0.030679261,0.039239537,5022,5022,0,0,1,1
653346318,653346187,3407898,3407898,-2.2006803e-05,5.183735e-06,1.2684933e-05,0.00092392904,0.029807264,0.03871857,4974,4974,0,0,1,1
653841317,653841188,3407898,3407898,-3.6852055e-06,-1.6776623e-05,0.00012614128,0.0011758179,0.029529443,0.038389895,4975,4975,0,0,1,1
