timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,open_drone_id_system_healthy,parachute_system_healthy
630769045,100000.0,0.05,0.0,152.53432,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632024038,100000.0,0.05,0.0,48.99378,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633276182,100000.0,0.05,0.0,175.85579,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634277119,100000.0,0.05,0.0,62.98255,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634532319,100000.0,0.05,0.0,152.87662,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635785999,100000.0,0.05,0.0,26.948366,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637038591,100000.0,0.05,0.0,102.99125,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
638292125,100000.0,0.05,0.0,90.735504,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639295015,100000.0,0.05,0.0,152.84715,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639547018,100000.0,0.05,0.0,26.91924,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640802096,100000.0,0.05,0.0,102.78149,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
642055020,100000.0,0.05,0.0,134.99864,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
643308238,100000.0,0.05,0.0,475.58862,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644310016,100000.0,0.05,0.0,26.970495,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644562107,100000.0,0.05,0.0,102.80416,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645816082,100000.0,0.05,0.0,62.874187,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
647070998,100000.0,0.05,0.0,152.69476,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
648324105,100000.0,0.05,0.0,54.983837,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649327019,100000.0,0.05,0.0,143.89583,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649579085,100000.0,0.05,0.0,103.68076,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650834224,100000.0,0.05,0.0,234.95465,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
652088124,100000.0,0.05,0.0,48.906734,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653338453,100000.0,0.05,0.0,62.91871,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
