timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
630141667,0,1,1,1,1,1,1,0,0,0,1,1
631141719,0,1,1,1,1,1,1,0,0,0,1,1
632151828,0,1,1,1,1,1,1,0,0,0,1,1
633151897,0,1,1,1,1,1,1,0,0,0,1,1
634161672,0,1,1,1,1,0,1,0,0,0,1,1
634411736,0,1,0,0,1,0,1,0,0,0,1,0
634421755,0,0,0,0,1,0,1,0,0,0,1,0
635431735,0,0,0,0,1,0,0,0,0,0,1,0
636441674,0,0,0,0,1,0,0,0,0,0,1,0
636621669,0,0,0,0,0,0,0,0,0,0,1,0
637621696,0,0,0,0,0,0,0,0,0,0,1,0
638631696,0,0,0,0,0,0,0,0,0,0,1,0
639631716,0,0,0,0,0,0,0,0,0,0,1,0
640641671,0,0,0,0,0,0,0,1,0,0,1,0
641641706,0,0,0,0,0,0,0,0,0,0,1,0
642651835,0,0,0,0,0,0,0,0,0,0,1,0
643651847,0,0,0,0,0,0,0,0,0,0,1,0
644661669,0,0,0,0,0,0,0,0,0,0,1,0
645661691,0,0,0,0,0,0,0,0,0,0,1,0
646671700,0,0,0,0,0,0,0,1,0,1,1,0
647671716,0,0,0,0,0,0,0,1,0,0,1,0
648671735,0,0,0,0,0,0,0,1,0,0,1,0
649673200,0,0,0,0,0,0,0,0,0,0,1,0
650673230,0,0,0,0,0,0,0,0,0,0,1,0
651683231,0,0,0,0,0,0,0,0,0,0,1,0
652693233,0,0,0,0,0,0,0,1,0,0,1,0
653213247,0,1,1,1,0,0,1,1,0,0,1,0
