timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
631007908,631007777,0.71634436,0.006584173,0.00032132046,0.6977159,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
631507880,631507731,0.7162725,0.0065532043,0.00024732045,0.69779,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
632007871,632007730,0.71629745,0.006569925,0.00026667857,0.6977641,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
632507870,632507730,0.7162576,0.006586519,0.00031141317,0.69780487,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
633007868,633007730,0.71620846,0.0065505216,0.00037343547,0.6978556,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
633507870,633507730,0.7161387,0.0065418603,0.00039232723,0.6979272,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
634007869,634007730,0.7160915,0.006493845,0.0003631758,0.6979762,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
634507900,634507774,0.7160315,0.0065319748,0.00037678977,0.6980373,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
635007870,635007730,0.71581274,0.006400766,-0.0002459116,0.69826293,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
635507870,635507730,0.7127046,0.00038069268,-0.004662176,0.70144874,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
636007869,636007730,0.6978102,-0.0004671906,-0.006151896,0.7162562,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
636507870,636507730,0.7053342,0.0018711681,-0.007095176,0.70883703,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
637007870,637007730,0.7254042,0.012526992,0.00036101372,0.6882091,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
637507882,637507730,0.71957785,0.014833859,0.01596902,0.69406974,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
638007901,638007774,0.71786,0.017491454,0.0043244977,0.6959544,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
638507871,638507730,0.7260547,0.0136463605,0.0029087614,0.68749535,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
639007869,639007730,0.72308666,0.014308296,0.002373852,0.69060516,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
639507869,639507730,0.71509093,0.0153071685,0.0013234782,0.6988627,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
640007870,640007730,0.71419907,0.0077720545,0.0056045745,0.69987714,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
640507869,640507730,0.71534014,0.007939862,0.0065653566,0.69870055,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
641007871,641007730,0.71359384,0.010434066,0.008816546,0.70042646,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
641507907,641507774,0.71422666,0.015807964,0.009694349,0.6996688,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
642007871,642007730,0.71200305,0.018895214,0.005395524,0.7019014,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
642507868,642507730,0.70769686,0.016344907,0.007212007,0.7062903,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
643007874,643007730,0.7054453,0.008752031,0.010390955,0.70863426,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
643512870,643512730,0.7097212,0.004977112,0.009525419,0.7044008,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
644007869,644007730,0.71956587,0.0032638437,0.0065073827,0.6943861,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
644507870,644507730,0.7170619,-0.0013195015,0.010592526,0.69692785,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
645007917,645007774,0.7186587,-0.009396919,0.026162323,0.6948072,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
645507869,645507730,0.7209215,-0.015771382,0.029218221,0.692221,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
646007871,646007730,0.63806546,0.061577387,0.3064,0.7037044,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
646507872,646507730,-0.20207746,0.71122277,0.657326,-0.14577219,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
647007868,647007730,-0.19833854,0.76274467,0.58057755,-0.20448029,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
647507870,647507731,-0.24811624,0.73980707,0.5792776,-0.2357144,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
648007869,648007730,-0.25971648,0.71586394,0.6098978,-0.21934187,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
648507900,648507774,-0.24843156,0.7245039,0.6061527,-0.21437077,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
649007872,649007730,-0.24452746,0.7269747,0.6050624,-0.21357349,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
649507869,649507730,-0.24305378,0.7264927,0.6055522,-0.215499,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
650007969,650007729,-0.24105856,0.7256749,0.60674745,-0.21712744,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
650507968,650507729,-0.23943235,0.72521096,0.6074759,-0.21843624,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
651007989,651007729,-0.23834416,0.7251876,0.60772383,-0.21901321,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
651507988,651507730,-0.23768835,0.7246809,0.6082034,-0.22006945,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
652008036,652007773,-0.23802327,0.7237154,0.6088476,-0.22110075,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
652507994,652507729,-0.23889685,0.7228605,0.6094199,-0.22137836,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
653007992,653007730,-0.2392523,0.7227947,0.6099662,-0.21969885,0.70855063,1.0413931e-09,-3.2433951e-12,0.70566,1
653507995,653507730,0.19438583,-0.5302118,0.7825633,-0.26207688,0.09966672,6.7495066e-08,-2.8777775e-08,0.99502087,2
