timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],flow[0],flow[1],terr_flow[0],terr_flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
630883466,630693215,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.004162878,-0.0032293797,0.014301896,0.0,-0.4748944,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025327206,0.0,0.0,0.0,0.008139837,-0.003627558,-0.000121831894,0.0,0.0,0.0,0.0,0.0,0.0
631383594,631193221,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,-0.4223137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008449999,0.011754559,-5.5611134e-05,0.0,0.0,0.0,0.0,0.0,0.0
631893532,631703212,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0034701228,0.0006160736,0.051507115,0.0,-0.42580038,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031511784,0.0,0.0,0.0,0.0071469145,-0.020211838,-0.0002233386,0.0,0.0,0.0,0.0,0.0,0.0
632393458,632203212,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.00059986115,-0.0007030964,0.020643115,0.0,-0.37415183,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029643774,0.0,0.0,0.0,-0.0031068036,-0.0030884903,4.1782856e-05,0.0,0.0,0.0,0.0,0.0,0.0
632883485,632693212,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.0016520768,-0.00086832047,0.018034995,0.0,-0.47125274,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004312992,0.0,0.0,0.0,-0.016831819,0.0045162803,2.7656555e-05,0.0,0.0,0.0,0.0,0.0,0.0
633383460,633193211,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00046734512,0.0009191036,0.015241146,0.0,-0.37535006,0.0,0.0,0.0,0.0,0.0,0.0,-0.003062129,0.0,0.0,0.0,0.007007038,-0.0024900923,-9.9778175e-05,0.0,0.0,0.0,0.0,0.0,0.0
633883475,633693212,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.0026240796,0.00032544136,0.009406149,0.0,-0.4323309,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029581785,0.0,0.0,0.0,-0.0030068122,0.0070674783,-2.527237e-05,0.0,0.0,0.0,0.0,0.0,0.0
634383484,634193212,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.0005096644,-0.0003015995,0.009195447,0.0,-0.15478224,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029025078,0.0,0.0,0.0,-0.025981057,0.014824732,-0.00020515919,0.0,0.0,0.0,0.0,0.0,0.0
634883489,634693211,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.00046999753,-0.00013184547,0.011544764,0.0,0.0067881346,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026717186,0.0,0.0,0.0,0.0395998,-0.07123741,-0.0035142899,0.0,0.0,0.0,0.0,0.0,0.0
635393459,635203211,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.006371811,0.005147934,0.012548149,0.0,0.46890146,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007584095,0.0,0.0,0.0,-0.011602167,0.16176495,-0.01362437,0.0,0.0,0.0,0.0,0.0,0.0
635893468,635703211,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.011666805,-0.00392437,0.0135243535,0.0,0.99019456,0.0,0.0,0.0,0.0,0.0,0.0,-0.008575439,0.0,0.0,0.0,-0.062643856,0.096709155,-0.0037174225,0.0,0.0,0.0,0.0,0.0,0.0
636383463,636193211,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.017273366,0.0004990101,0.0033318996,0.0,0.4710759,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027478933,0.0,0.0,0.0,-0.050297584,-0.0058086887,-0.00076276064,0.0,0.0,0.0,0.0,0.0,0.0
636883459,636693212,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0012027323,0.0077233315,-0.013322532,0.0,0.42665082,0.0,0.0,0.0,0.0,0.0,0.0,-0.0049717426,0.0,0.0,0.0,0.045124054,0.021738764,-0.0021053553,0.0,0.0,0.0,0.0,0.0,0.0
637383459,637193211,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.003965616,0.005195856,-0.022945285,0.0,1.1708148,0.0,0.0,0.0,0.0,0.0,0.0,0.0070911646,0.0,0.0,0.0,0.040754613,-0.017164208,-0.0002722144,0.0,0.0,0.0,0.0,0.0,0.0
637883488,637693217,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0039663315,-0.011379242,-0.035093665,0.0,1.3149822,0.0,0.0,0.0,0.0,0.0,0.0,0.007074237,0.0,0.0,0.0,-0.030245675,-0.053750195,0.0001090765,0.0,0.0,0.0,0.0,0.0,0.0
638383459,638193212,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.008930057,-0.011002541,-0.03094548,0.0,1.4861588,0.0,0.0,0.0,0.0,0.0,0.0,0.00506258,0.0,0.0,0.0,0.030507302,0.0111324005,-0.0015208721,0.0,0.0,0.0,0.0,0.0,0.0
638893457,638703212,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.0068992674,-0.00042438507,-0.019860148,0.0,0.9825008,0.0,0.0,0.0,0.0,0.0,0.0,0.0010094643,0.0,0.0,0.0,-0.058019392,0.020978916,-0.0012882352,0.0,0.0,0.0,0.0,0.0,0.0
639393460,639203211,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.01326412,-0.042559147,-0.024427712,0.0,1.2076335,0.0,0.0,0.0,0.0,0.0,0.0,0.0039691925,0.0,0.0,0.0,-0.007397011,0.02517939,-0.000623703,0.0,0.0,0.0,0.0,0.0,0.0
639883458,639693214,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.007737726,-0.03343463,-0.0052330494,0.0,0.9683937,0.0,0.0,0.0,0.0,0.0,0.0,0.00084221363,0.0,0.0,0.0,-0.01968941,0.0769257,-0.0039503574,0.0,0.0,0.0,0.0,0.0,0.0
640383474,640193211,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-0.012262166,-0.004198551,-0.00029152632,0.0,0.8904279,0.0,0.0,0.0,0.0,0.0,0.0,0.0029228926,0.0,0.0,0.0,0.038678166,-0.0693378,-0.0024642348,0.0,0.0,0.0,0.0,0.0,0.0
