timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
630566419,3407898,3407898,3407890,3407882,0,0.010984894,0.04343648,0.033418715,0.0,3407898,3407898,3407890,3407882,0,0.00052167836,0.0003628531,0.00058548676,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
630571460,3407898,3407898,3407890,3407882,0,0.012967178,0.035666883,0.034466583,0.0,3407898,3407898,3407890,3407882,0,0.00043992946,0.00036687477,0.00046904653,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
630766444,3407898,3407898,3407890,3407882,0,0.00951539,0.03883279,0.029468805,0.0,3407898,3407898,3407890,3407882,0,0.00020490648,0.00027927227,0.00031084835,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
630971422,3407898,3407898,3407890,3407882,0,0.011283871,0.042227846,0.03128943,0.0,3407898,3407898,3407890,3407882,0,0.0006305565,0.00053985906,0.00051678094,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
631171442,3407898,3407898,3407890,3407882,0,0.004660823,0.036549367,0.032989472,0.0,3407898,3407898,3407890,3407882,0,0.00058460725,0.00072884065,0.00030492625,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
631371414,3407898,3407898,3407890,3407882,0,0.00532601,0.037246052,0.03563622,0.0,3407898,3407898,3407890,3407882,0,0.00046160803,0.00049130595,0.0001221514,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
631571408,3407898,3407898,3407890,3407882,0,0.010351967,0.042086083,0.034726523,0.0,3407898,3407898,3407890,3407882,0,0.00040735846,0.00051779696,0.00069456024,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
631766416,3407898,3407898,3407890,3407882,0,0.009456008,0.03964355,0.03152353,0.0,3407898,3407898,3407890,3407882,0,0.0004806969,0.00063574483,0.00052780355,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
631966433,3407898,3407898,3407890,3407882,0,0.0089356005,0.038510982,0.03514068,0.0,3407898,3407898,3407890,3407882,0,0.0004994992,0.0005213288,0.00027955262,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
632166406,3407898,3407898,3407890,3407882,0,0.011186015,0.03921215,0.035090413,0.0,3407898,3407898,3407890,3407882,0,0.0003936086,0.0004940392,0.00034356522,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
