timestamp,timestamp_sample,roll,pitch,yaw,throttle,flaps,aux1,aux2,aux3,aux4,aux5,aux6,buttons,valid,data_source,sticks_moving
630497491,630496527,0.0,-0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
630697600,630496527,0.0,-0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
630755276,630496527,0.0,-0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
630798566,630797598,0.0,-0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
630998579,630797598,0.0,-0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
631103521,631102477,0.0,-0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
631303612,631102477,0.0,-0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
631408238,631407216,0.0,-0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
631517191,631516203,0.0,-0.0,0.9795455,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
631539006,631537992,0.0,-0.0,0.95909095,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
631560599,631559635,0.0,-0.0,0.9386364,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
631591138,631590158,0.0,-0.0,0.87272733,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
631613161,631612188,0.0,-0.0,0.8181819,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
631634965,631634001,0.0,-0.0,0.77500004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
631656914,631655678,0.0,-0.0,0.7159091,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
631678592,631677599,0.0,-0.0,0.6545455,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
631700190,631699222,0.0,-0.0,0.5500001,-0.98409086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
631722210,631720807,0.0,-0.0,0.44772732,-0.9363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
631744026,631743047,0.0,-0.0,0.36136368,-0.90681815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
631765691,631764695,0.0,-0.0,0.2863637,-0.890909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
631787489,631786524,0.0,-0.0,0.22272733,-0.86818177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
631809323,631808199,0.0,-0.0,0.10000006,-0.815909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
631830903,631829938,0.0,-0.0,0.0,-0.7636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
631853584,631852241,0.0,-0.0,0.0,-0.7295454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
631875203,631874226,0.0,-0.0,0.0,-0.6999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
631896941,631895818,0.0,-0.0,0.0,-0.6409091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
631918590,631917599,0.0,-0.0,0.0,-0.565909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
631940251,631939223,0.0,-0.0,0.0,-0.47499996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
631962120,631960889,0.0,-0.0,0.0,-0.38181815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
631983914,631982757,0.0,-0.0,0.0,-0.30909088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
632005587,632004595,0.0,-0.0,0.0,-0.26363632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
632027218,632026242,0.0,-0.0,0.0,-0.2022727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
632048866,632047896,0.0,-0.0,0.0,-0.14545451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
632070447,632069482,0.0,-0.0,0.0,-0.081818156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
