timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
630405882,630404756,4395041,-0.23829836,-0.07074482,0.24505039,nan,0
630455899,630454773,4395041,-0.23458429,-0.074471205,0.24920587,nan,0
630505882,630504756,4395041,-0.23829836,-0.067021415,0.25730288,nan,0
630605883,630604757,4395041,-0.29787892,-0.115428075,0.23283118,nan,0
630705882,630704757,4395041,-0.39842883,-0.040959977,0.21655414,nan,0
630805903,630804777,4395041,-0.21223873,-0.02978789,0.23283118,nan,0
630905883,630904757,4395041,-0.24947359,-0.055852294,0.22057691,nan,0
631005883,631004757,4395041,-0.31277284,-0.048405323,0.2124074,nan,0
631105883,631104757,4395041,-0.23830312,-0.070746236,0.21649215,nan,0
631205882,631204757,4395041,-0.27180907,-0.05957459,0.212377,nan,0
631305883,631304757,4395041,-0.25320208,-0.06702408,0.21652313,nan,0
631405883,631404757,4395041,-0.2718199,-0.059576962,0.22060847,nan,0
631505904,631504778,4395041,-0.25319707,-0.070746236,0.22057691,nan,0
631605882,631604756,4395041,-0.268091,-0.07446973,0.22057691,nan,0
631705883,631704756,4395041,-0.25320712,-0.07447268,0.22881192,nan,0
631805882,631804756,4395041,-0.24947359,-0.070746236,0.2124074,nan,0
631905882,631904757,4395041,-0.26064405,-0.07819321,0.22057691,nan,0
632005882,632004756,4395041,-0.25692055,-0.081916705,0.22057691,nan,0
632105882,632104756,4395041,-0.25692564,-0.07074764,0.2246938,nan,0
632205902,632204775,4395041,-0.2643728,-0.07819477,0.2246938,nan,0
632305882,632304756,4395041,-0.26064405,-0.07446973,0.22466166,nan,0
632405882,632404756,4395041,-0.25692055,-0.06702275,0.22057691,nan,0
632505882,632504756,4395041,-0.253192,-0.07446823,0.2246295,nan,0
632605882,632604756,4395041,-0.2643728,-0.06702408,0.2246938,nan,0
632705882,632704756,4395041,-0.2643728,-0.08191832,0.22060847,nan,0
632805882,632804757,4395041,-0.2606492,-0.074471205,0.22060847,nan,0
632905900,632904774,4395041,-0.26064405,-0.06702275,0.22466166,nan,0
633005882,633004756,4395041,-0.25320208,-0.07819477,0.2246938,nan,0
633105883,633104756,4395041,-0.2606492,-0.07074764,0.2246938,nan,0
633205883,633204756,4395041,-0.25692564,-0.06330052,0.22060847,nan,0
633305882,633304756,4395041,-0.2606544,-0.07447268,0.22881192,nan,0
633405882,633404756,4395041,-0.26810166,-0.070749044,0.22472599,nan,0
633505882,633504756,4395041,-0.25319707,-0.07819321,0.22466166,nan,0
633605900,633604774,4395041,-0.24947852,-0.074471205,0.22060847,nan,0
633705882,633704756,4395041,-0.26810166,-0.06330178,0.21655414,nan,0
633805883,633804756,4395041,-0.2569359,-0.081921585,0.20841213,nan,0
633905882,633904756,4395041,-0.27182528,-0.07819632,0.20429635,nan,0
634005883,634004757,4395041,-0.279267,-0.074471205,0.18792574,nan,0
634105892,634104756,4395041,-0.27183074,-0.06702676,0.17572004,nan,0
634205882,634204756,4395041,-0.27927813,-0.07819788,0.15937398,nan,0
