timestamp,speed_up,speed_down,want_takeoff
631521814,3.0,1.5,0
632531745,3.0,1.5,0
633531690,3.0,1.5,0
634531684,3.0,1.5,1
635531674,3.0,1.5,0
636531666,3.0,1.5,1
637531698,3.0,1.5,1
638531655,3.0,1.5,1
639531657,3.0,1.5,0
640531694,3.0,1.5,1
641531667,3.0,1.5,0
642531661,3.0,1.5,0
643531689,3.0,1.5,0
644531657,3.0,1.5,0
645531664,3.0,1.5,0
646531695,3.0,1.5,0
647531664,3.0,1.5,0
648531654,3.0,1.5,0
649531678,3.0,1.5,0
650543165,3.0,1.5,0
651543169,3.0,1.5,0
652543174,3.0,1.5,0
653543235,3.0,1.5,0
