timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
630561627,630371188,67138051,6.439407e-05,0.0020283235,0.0022970322,0,0.055908136,0.035955876,0.0024525055,nan,0.008503068,0.028334524,0.0,nan,0.0,0.0,3407898,3407898,6780433,4395041,nan,nan,nan,nan,0,0,895,3,1,4,2,1,0,0,0,0,0,0,0
630571669,630381187,67138051,6.3166415e-05,0.0019616638,0.0022547373,0,0.056423973,0.03621829,0.0024525055,nan,0.008503068,0.028334524,0.0,nan,0.0,0.0,3407898,3407898,6780433,4395041,nan,nan,nan,nan,0,0,895,3,1,4,2,1,0,0,0,0,0,0,0
630761625,630571216,67138051,9.248572e-05,0.0026176602,0.0030473645,0,0.055872228,0.035947397,0.0020415569,nan,0.007968725,0.032525923,0.0,nan,0.0,0.0,3407898,3407898,6780433,4395041,nan,nan,nan,nan,0,0,895,3,1,4,2,1,0,0,0,0,0,0,0
630971631,630781213,67138051,7.398484e-05,0.0019532738,0.0030409766,0,0.06638498,0.041430615,0.0020415569,nan,0.007968725,0.030843835,0.0,nan,0.0,0.0,3407898,3407898,6780433,4395041,nan,nan,nan,nan,0,0,895,3,1,4,2,1,0,0,0,0,0,0,0
631171773,630981188,17783849475,3.6268026e-05,0.0020839055,0.0037005304,0,0.077268824,0.04709923,0.0,nan,nan,0.02804857,0.0,nan,0.0,0.0,3407898,3407898,6780433,4395041,nan,nan,nan,nan,0,0,229,3,1,4,2,1,0,0,0,0,0,0,0
631371750,631181188,17783849475,3.569486e-05,0.0020316604,0.0038674204,0,0.08866798,0.053078726,0.0,nan,nan,0.023967532,0.0,nan,0.0,0.0,3407898,3407898,6780433,4395041,nan,nan,nan,nan,0,0,229,3,1,4,2,1,0,0,0,0,0,0,0
631571731,631381212,17783849475,9.781202e-06,0.0017596007,0.0036140839,0,0.100273155,0.059258875,0.0,nan,nan,0.024959382,0.0,nan,0.0,0.0,3407898,3407898,6780433,4395041,nan,nan,nan,nan,0,0,229,3,1,4,2,1,0,0,0,0,0,0,0
631761613,631571188,67138051,1.3989482e-05,0.0009725012,0.014640956,0,0.14142448,0.070751816,inf,nan,0.003834135,0.038315207,0.0,nan,0.0,0.0,3407898,3407898,6780433,4395041,nan,nan,nan,nan,0,0,895,3,1,6,3,1,0,0,0,0,0,0,0
631961615,631771212,67138051,2.2617778e-05,0.00055827183,0.014166565,0,0.082285024,0.0505297,0.0013123002,nan,0.0029403337,0.033504546,0.0,nan,0.0,0.0,3407898,3407898,6780433,4395041,nan,nan,nan,nan,0,0,895,3,1,6,3,1,0,0,0,0,0,0,0
632161642,631971188,67138051,3.6582973e-05,0.0011677376,0.008222723,0,0.06605124,0.04250877,0.0012068235,nan,0.002673619,0.02064627,0.0,nan,0.0,0.0,3407898,3407898,6780433,4395041,nan,nan,nan,nan,0,0,895,3,1,6,3,1,0,0,0,0,0,0,0
