timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
631411910,0,0,63,1,0
633441735,0,0,63,1,0
635461742,0,0,63,1,0
637491757,0,0,63,1,0
639511808,0,0,63,1,0
641531754,0,0,63,1,0
643561754,0,0,63,1,0
645581811,0,0,63,1,0
647591757,0,0,63,1,0
649633530,0,0,63,1,0
651663276,0,0,63,1,0
