timestamp,timestamp_sample,device_id,bias,bias_var,innov,innov_var,innov_test_ratio
630941731,630743065,6780433,18.41247,0.115473345,-0.6157551,12.3682165,0.0034061708
631131762,630937902,6780433,18.400064,0.11539146,-0.49321938,12.368588,0.0021853328
631911748,631717300,6780433,18.389032,0.11586503,-0.5259266,12.370357,0.002484423
632431771,632236900,6780433,18.360834,0.11580274,-0.35346985,12.368532,0.0011223907
632951949,632756535,6780433,18.331964,0.115748905,-0.30106354,12.368425,0.0008142531
633471754,633276101,6780433,18.302204,0.11570579,-0.3602867,12.3682165,0.0011661298
633921720,633730752,6780433,18.275482,0.11559703,-0.39705086,12.368204,0.0014162605
634441742,634250387,6780433,18.257748,0.11557218,-0.14408684,12.368162,0.00018650948
634901728,634705035,6780433,18.257898,0.11563699,0.109724045,12.368178,0.00010815718
635421716,635224601,6780433,18.286858,0.11561828,0.6810398,12.368234,0.0041667246
635941738,635744212,6780433,18.33092,0.11560224,0.30252266,12.36828,0.0008221745
636461727,636263848,6780433,18.365871,0.11558845,0.36673164,12.368094,0.0012082352
636911741,636718467,6780433,18.40115,0.1154943,0.5658436,12.368111,0.0028763844
637431739,637238064,6780433,18.485529,0.11548393,1.5326538,12.368148,0.021102842
637951909,637757650,6780433,18.587162,0.11547501,1.3797264,12.368186,0.017101627
638471748,638277250,6780433,18.694712,0.11546735,1.5699234,12.367996,0.02214191
638931741,638731900,6780433,18.77825,0.11554524,0.8695183,12.36821,0.0067921625
639451901,639251533,6780433,18.862953,0.1155395,1.2982616,12.368249,0.015141669
639961735,639771100,6780433,18.939602,0.1153687,1.0866718,12.367874,0.010608628
640421713,640225750,6780433,19.004036,0.115458846,1.0648785,12.368099,0.010187194
640941707,640745387,6780433,19.089516,0.11546523,1.1623497,12.368153,0.012137418
641461739,641264952,6780433,19.152033,0.11547092,0.60051537,12.368229,0.0032396512
641911765,641719601,6780433,19.206995,0.11539147,0.8696785,12.368107,0.0067947228
642431744,642239212,6780433,19.268064,0.1153956,1.033453,12.368079,0.009594817
642951869,642758851,6780433,19.331635,0.11539909,0.723711,12.36811,0.00470527
643471769,643278402,6780433,19.375345,0.11540211,0.76675224,12.367931,0.0052816607
643931735,643733065,6780433,19.410461,0.1154881,0.49152374,12.368155,0.002170409
644451879,644252650,6780433,19.44821,0.11549038,0.58615494,12.368205,0.003086567
644971761,644772257,6780433,19.481709,0.11549232,0.3892479,12.368024,0.0013611616
645421734,645226901,6780433,19.51282,0.11541009,0.49681664,12.368051,0.0022174227
645941715,645746535,6780433,19.543299,0.11541158,0.55213356,12.368099,0.0027386895
646461723,646266101,6780433,19.47941,0.11541598,-0.9556217,12.367972,0.008204102
646911752,646720751,6780433,19.550968,0.115343615,2.5025005,12.368926,0.05625665
647431767,647240386,6780433,19.736996,0.11535508,2.8639584,12.368962,0.073681355
647951872,647759952,6780433,19.969744,0.115364686,3.1690845,12.368637,0.090220094
648471740,648279571,6780433,20.04976,0.11537278,0.5226841,12.368121,0.0024543265
648931761,648734211,6780433,20.089128,0.11546256,0.7238617,12.368595,0.0047070445
649451847,649253842,6780433,20.162317,0.115469575,1.181221,12.370911,0.012531935
649966515,649773410,6780433,20.257296,0.11531494,1.1810131,12.374633,0.012523756
650426469,650228049,6780433,20.355305,0.1154174,1.5587025,12.380033,0.021805303
650946498,650747650,6780433,20.478323,0.11544064,1.8053703,12.388521,0.029232815
651466515,651267251,6780433,20.62196,0.11546735,1.8023129,12.400054,0.029106786
651916515,651721900,6780433,20.747826,0.11541114,2.1207008,12.412616,0.040258076
652436470,652241536,6780433,20.893099,0.11544864,1.73732,12.430321,0.026979553
652956678,652761101,6780433,21.034378,0.11549676,1.95368,12.451022,0.034061156
653476524,653280702,6780433,21.173733,0.11556113,2.0082397,12.474024,0.03592378
