timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
633762992,633572729,67138051,0.0001669332,0.0014439606,0.0012648301,0,0.057405695,0.037019245,0.010391963,nan,0.004682965,0.020882074,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,895,3,1,6,3,1,0,0,0,0,0,0,0
633963138,633772773,67138051,0.00016023256,0.0012657375,0.0016991441,0,0.056994252,0.036886994,0.007745246,nan,0.007312356,0.019789118,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,895,3,1,6,3,1,0,0,0,0,0,0,0
634162991,633972730,67138051,0.00015577,0.0012359171,0.002339256,0,0.057570647,0.03706357,0.009803377,nan,0.0073026046,0.017431486,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,895,3,1,6,3,1,0,0,0,0,0,0,0
634362990,634172730,67138051,0.0001728587,0.0010971496,0.002329586,0,0.057141643,0.03686818,0.011256582,nan,0.004999089,0.01370826,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,895,3,1,6,3,1,0,0,0,0,0,0,0
634563000,634372730,67138051,0.00016581084,0.0011673335,0.002242609,0,0.056783248,0.036680777,0.00940462,nan,0.0067861206,0.016217392,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,895,3,1,6,3,1,0,0,0,0,0,0,0
634762990,634572729,1077891,0.00015301058,0.0011470799,0.0018586878,0,0.056501813,0.036512405,0.009132755,nan,0.004581171,0.012234406,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
634963052,634772730,1077891,0.00016099884,0.0009889511,0.0014361192,0,0.05716679,0.036683217,0.010895419,nan,0.0070739207,0.013082311,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
635163017,634972730,1077891,0.00016881066,0.0014452204,0.002104098,0,0.057791464,0.036857076,0.008493215,nan,0.009560595,0.021943552,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
635362991,635172773,1077891,0.00018979843,0.0017964158,0.002179288,0,0.058338214,0.03701931,0.00836443,nan,0.009589311,0.023171518,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
635562989,635372730,1077891,0.0002002288,0.0012617258,0.001774799,0,0.05879229,0.037157346,0.015293281,nan,0.002175764,0.013094455,0.0,nan,0.0,0.0,3407882,3407882,6780433,4395041,nan,nan,nan,nan,0,0,831,3,1,6,3,1,0,0,0,0,0,0,0
