timestamp,timestamp_sample,device_id,pressure,temperature,error_count
642201846,642200900,6780433,101070.94,38.94,0
642331747,642330800,6780433,101070.69,38.94,0
642418346,642417400,6780433,101073.46,38.94,0
642504996,642504033,6780433,101068.43,38.93,0
642634845,642633900,6780433,101069.69,38.93,0
642721446,642720499,6780433,101067.68,38.93,0
642808045,642807099,6780433,101071.445,38.94,0
642937982,642937034,6780433,101070.945,38.93,0
643024554,643023600,6780433,101075.73,38.94,0
643111146,643110199,6780433,101071.945,38.94,0
643197749,643196799,6780433,101068.93,38.94,0
643327646,643326699,6780433,101070.695,38.93,0
643414246,643413299,6780433,101070.44,38.94,0
643500849,643499903,6780433,101073.46,38.94,0
643630746,643629800,6780433,101071.195,38.94,0
643717377,643716430,6780433,101072.96,38.94,0
643803947,643803000,6780433,101069.43,38.94,0
643933847,643932901,6780433,101072.195,38.94,0
644020461,644019515,6780433,101073.71,38.94,0
644107071,644106105,6780433,101072.445,38.94,0
644236946,644235999,6780433,101070.44,38.94,0
644323546,644322600,6780433,101069.69,38.94,0
644410146,644409200,6780433,101072.96,38.94,0
644540045,644539099,6780433,101072.195,38.94,0
644626645,644625699,6780433,101072.46,38.94,0
644713246,644712300,6780433,101071.445,38.95,0
644799846,644798900,6780433,101071.445,38.94,0
644929786,644928840,6780433,101071.945,38.94,0
645016370,645015399,6780433,101070.19,38.94,0
645102989,645102034,6780433,101070.945,38.94,0
645232847,645231900,6780433,101070.69,38.94,0
645319446,645318499,6780433,101070.69,38.94,0
645406085,645405136,6780433,101072.46,38.94,0
645535978,645535032,6780433,101071.695,38.94,0
645622595,645621600,6780433,101072.71,38.94,0
645709147,645708200,6780433,101071.695,38.95,0
645839071,645838101,6780433,101075.22,38.94,0
645925646,645924699,6780433,101087.3,38.94,0
646012282,646011336,6780433,101093.086,38.95,0
646098850,646097903,6780433,101093.336,38.94,0
646228848,646227820,6780433,101096.11,38.94,0
646315347,646314400,6780433,101098.625,38.95,0
646401947,646401000,6780433,101085.29,38.95,0
646531846,646530900,6780433,101073.97,38.95,0
646618447,646617500,6780433,101068.43,38.95,0
646705047,646704100,6780433,101058.11,38.95,0
646834995,646834034,6780433,101063.4,38.95,0
646921568,646920599,6780433,101069.18,38.95,0
647008146,647007200,6780433,101072.46,38.95,0
647138046,647137100,6780433,101069.94,38.95,0
647224687,647223741,6780433,101065.66,38.95,0
647311264,647310318,6780433,101064.4,38.94,0
647397846,647396899,6780433,101065.16,38.95,0
647527746,647526799,6780433,101071.695,38.96,0
647614347,647613401,6780433,101067.414,38.95,0
647700979,647700033,6780433,101068.18,38.95,0
647830846,647829900,6780433,101068.43,38.95,0
647917481,647916534,6780433,101095.61,38.95,0
648004068,648003101,6780433,101102.66,38.95,0
648133948,648133001,6780433,101102.91,38.95,0
648220546,648219600,6780433,101102.16,38.95,0
648307187,648306241,6780433,101102.66,38.95,0
648437066,648436099,6780433,101101.15,38.95,0
648523647,648522699,6780433,101102.41,38.95,0
648610249,648609301,6780433,101104.914,38.95,0
648740157,648739211,6780433,101101.4,38.95,0
648826746,648825799,6780433,101099.89,38.96,0
648913347,648912400,6780433,101100.9,38.95,0
648999996,648999035,6780433,101102.41,38.95,0
649129846,649128899,6780433,101100.65,38.96,0
649216446,649215500,6780433,101100.14,38.96,0
649303047,649302100,6780433,101100.39,38.96,0
