timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
644081605,643891211,3407898,-0.00027738497,0.00022413295,-4.193587e-05,0.15,1.8417221e-07,1.8416168e-07,4.491568e-07,3407898,-0.0058102966,0.0019944098,-0.021894963,0.4,0.0006769807,0.0006795113,1.1184589e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
645091633,644901188,3407898,-0.00027000738,0.00023447812,-4.0378476e-05,0.15,1.8444072e-07,1.8443238e-07,4.504394e-07,3407898,-0.005943446,0.002114303,-0.02179628,0.4,0.0006768533,0.0006794858,1.117872e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
646101605,645911188,3407898,-0.00029097,0.00024984078,-3.1976175e-05,0.15,1.8572852e-07,1.856578e-07,4.515816e-07,3407898,-0.005702369,0.0019718583,-0.021946646,0.4,0.0006767541,0.00067950756,1.1180707e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
647111628,646921211,3407898,-0.00078289903,0.00035775724,1.6028693e-05,0.15,1.8623226e-07,1.8692783e-07,4.5153726e-07,3407898,-0.005702369,0.0019718583,-0.021946646,0.4,0.0006767541,0.00067950756,1.1180707e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
647251717,647061188,3407898,-0.0008482498,0.00033570846,-1.8946252e-05,0.15,1.8629349e-07,1.8763602e-07,4.5173135e-07,3407898,-0.0051517943,0.004208565,-0.021988524,0.4,0.0006766629,0.00067407795,1.1185745e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
647351735,647161211,3407898,-0.0008636975,0.0003245091,-3.937277e-05,0.15,1.8668115e-07,1.8835827e-07,4.5126606e-07,3407898,-0.0047268467,0.005825532,-0.02200347,0.4,0.0006765893,0.00066719204,1.1194402e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
647651733,647461212,3407898,-0.00084773113,0.0002871009,-1.9787676e-05,0.15,1.8801772e-07,1.9067839e-07,4.498351e-07,3407898,-0.0046857027,0.003087219,-0.021934507,0.4,0.00067639054,0.00063732284,1.1218607e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
647751729,647561187,3407898,-0.0008324633,0.00027271546,1.537177e-07,0.15,1.8850577e-07,1.9148217e-07,4.4943843e-07,3407898,-0.005111774,-0.00033450572,-0.02189965,0.4,0.00067630573,0.0006243973,1.122571e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
647851761,647661187,3407898,-0.0008145582,0.00025690833,2.2745111e-05,0.15,1.8900906e-07,1.9229482e-07,4.4911874e-07,3407898,-0.0057551255,-0.00510458,-0.021866532,0.4,0.00067619985,0.00061015016,1.1232235e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
647951757,647761210,3407898,-0.00079430337,0.00024081998,4.50398e-05,0.15,1.8952448e-07,1.9311364e-07,4.488855e-07,3407898,-0.0066053183,-0.01135995,-0.021839937,0.4,0.00067606894,0.0005947506,1.1238149e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
648051727,647861188,3407898,-0.00077326415,0.00022313063,6.664897e-05,0.15,1.9004817e-07,1.939355e-07,4.487367e-07,3407898,-0.007679946,-0.01918933,-0.02182708,0.4,0.0006759103,0.0005784115,1.1243444e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
648151777,647961189,3407898,-0.00075545174,0.00020375042,8.273339e-05,0.15,1.9057788e-07,1.947603e-07,4.4867735e-07,3407898,-0.0088654645,-0.027718222,-0.021835562,0.4,0.00067572243,0.0005613425,1.1248133e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
648251725,648061210,3407898,-0.0007404597,0.00018267435,9.358554e-05,0.15,1.9111349e-07,1.9558775e-07,4.487042e-07,3407898,-0.010144153,-0.03711392,-0.021866944,0.4,0.0006755091,0.0005438095,1.1252251e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
648351753,648161188,3407898,-0.00073043344,0.0001610602,9.644843e-05,0.15,1.9165198e-07,1.9641658e-07,4.4881983e-07,3407898,-0.011424392,-0.04696977,-0.021930676,0.4,0.00067527505,0.0005260433,1.12558155e-05,4395041,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
