timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
631321421,3407898,3407898,0,0,0,0,0,0,0,0,799.99963,799.99963,6325.853,6325.853,0.2222184,0.0069462853,5.1327537e-10,-0.0895825,-0.059395198,-9.936462,0.0037313153,0.0020236955,0.00079532206,0.16261691,0.5054513,0.13333446,0.00040788448,6.166838e-05,9.43318e-05,34.263733,34.263733
632261387,3407898,3407898,0,0,0,0,0,0,0,0,800.0,800.0,6325.848,6325.848,0.30129904,0.009467594,3.2721495e-10,-0.11255737,-0.09175319,-9.946287,0.0033423502,0.001405786,8.0265454e-05,0.4799583,0.46241075,0.37676027,0.00034661355,0.00029819322,3.121408e-05,34.26093,34.26093
633301403,3407898,3407898,0,0,0,0,0,0,0,0,799.9997,799.9997,6325.841,6325.841,0.2942858,0.009992255,1.7181721e-10,-0.092250355,-0.109521195,-9.93917,0.0043565524,0.001746497,0.00025707425,0.29825094,0.4443319,0.1464453,0.0003298781,0.00016735564,3.8516613e-05,34.262787,34.262787
634246403,3407898,3407898,0,0,0,0,0,0,0,0,799.9997,799.9997,6325.8413,6325.8413,0.40651327,0.010937052,6.0733957e-10,-0.09680659,-0.09294909,-9.936038,0.0033742627,0.0020573244,0.00013298795,0.73100054,1.343333,0.5676084,0.0009747782,0.0004811875,0.00017537373,34.269978,34.269978
635296401,3407898,3407898,0,0,0,0,0,0,0,0,799.9997,799.9997,6325.842,6325.842,3.044839,0.04504152,2.8361038e-08,-0.13503274,-0.64921796,-9.514101,-0.12890589,-0.0054011922,-0.023786938,750.8458,575.2807,1069.1317,0.10594897,0.038362574,0.028465683,34.28471,34.28471
636241403,3407898,3407898,0,0,0,0,0,0,0,0,799.9997,799.9997,6325.8335,6325.8335,2.8290837,0.048694372,1.47480685e-08,-0.2808722,0.06079504,-10.105666,0.061430387,-0.011804624,-0.026753984,282.01114,244.51941,231.57245,0.05598206,0.013468924,0.016689032,34.27505,34.27505
637291413,3407898,3407898,0,0,0,0,0,0,0,0,799.9997,799.9997,6325.836,6325.836,2.602249,0.043252327,1.0211621e-08,-0.43854564,-0.11680726,-9.99434,0.059788454,0.062348094,0.044829626,191.12231,136.262,273.04178,0.017620055,0.008454618,0.0062034302,34.27062,34.27062
638236400,3407898,3407898,0,0,0,0,0,0,0,0,799.9997,799.9997,6325.8296,6325.8296,2.5551095,0.031068206,1.3414224e-08,-0.14384905,-0.3555477,-10.032961,-0.014964351,-0.0034616487,-0.05093615,32.733326,26.232819,24.703629,0.0047484855,0.003934459,0.0019488431,34.307877,34.307877
639271413,3407898,3407898,0,0,0,0,0,0,0,0,799.9997,799.9997,6325.835,6325.835,2.2018614,0.024551265,1.5136864e-08,-0.22692035,-0.22519505,-10.89983,-0.01474205,0.006399088,0.05695477,64.65024,72.47588,26.657259,0.007738701,0.00542882,0.0050807768,34.33383,34.33383
640321416,3407898,3407898,0,0,0,0,0,0,0,0,799.9997,799.9997,6325.8374,6325.8374,2.821175,0.026605712,7.168734e-09,-0.1360465,-0.2667594,-10.3308325,-0.044836804,-0.01708331,-0.017749293,45.651505,97.41755,221.75264,0.009335903,0.003713524,0.0020028162,34.31178,34.31178
641266410,3407898,3407898,0,0,0,0,0,0,0,0,799.9997,799.9997,6325.8423,6325.8423,2.15374,0.027061153,6.594452e-09,0.08397945,-0.18696748,-7.5814095,0.021383744,-0.0028094281,-0.009229089,43.77849,28.801329,33.32316,0.018070655,0.0031873982,0.0021554618,34.337543,34.337543
642316415,3407898,3407898,0,0,0,0,0,0,0,0,799.9997,799.9997,6325.8447,6325.8447,2.4003696,0.026529271,9.602084e-09,-0.047962748,-0.3995993,-9.828092,-0.0019707868,0.04241518,0.02552223,33.013756,44.65305,25.950207,0.0049766297,0.002412338,0.0031084178,34.33326,34.33326
643261411,3407898,3407898,0,0,0,0,0,0,0,0,799.9997,799.9997,6325.8433,6325.8433,1.953242,0.025606403,7.535567e-09,-0.017126061,-0.22661823,-10.207072,-0.0056465184,-0.021282565,-0.022737628,22.648043,35.11652,31.81884,0.008809782,0.0020589388,0.0024846664,34.310722,34.310722
644311415,3407898,3407898,0,0,0,0,0,0,0,0,799.9997,799.9997,6325.8535,6325.8535,2.273011,0.02421998,8.767759e-09,0.0031649705,-0.2753398,-9.799128,0.009692611,0.049992844,0.030092804,22.971975,39.103363,27.87783,0.0040635904,0.0018503313,0.0027498784,34.354713,34.354713
645251392,3407898,3407898,0,0,0,0,0,0,0,0,800.0,800.0,6325.8457,6325.8457,2.608873,0.026307732,7.484441e-09,0.05116208,-0.24467285,-9.880986,0.01027468,0.04083911,-0.017628426,19.273493,23.863583,29.994959,0.005830023,0.0014664584,0.0017545525,34.34249,34.34249
646291402,3407898,3407898,14,47,3,0,0,0,0,0,799.99976,799.99976,6325.841,6325.841,9.414109,0.27123603,6.089413e-06,9.147491,-12.549777,-3.403167,6.05374,-0.084359,1.8866681,1217.7645,1863.7194,1051.763,2.3675854,1.5619621,1.0924777,34.35038,34.35038
647236410,3407898,3407898,14,47,3,0,0,0,0,0,799.99976,799.99976,6325.8584,6325.8584,5.38885,0.16010189,6.0426e-08,0.025738306,6.7533755,6.5867033,0.41192394,0.027560724,-0.056208894,11.779609,34.431908,10.371379,0.04415258,0.0052777003,0.036002986,34.362846,34.362846
648286401,3407898,3407898,14,47,3,0,0,0,0,0,799.99976,799.99976,6325.847,6325.847,2.6755276,0.066069834,1.6995696e-08,-0.16127515,5.272366,7.25948,-0.05447814,0.08160165,-0.36405593,0.80120295,1.0593817,1.2139765,0.00476534,0.002817781,0.05716043,34.384533,34.384533
649231401,3407898,3407898,14,47,3,0,0,0,0,0,799.99976,799.99976,6325.842,6325.842,0.6001624,0.037170902,3.834332e-09,0.32627296,6.1175456,7.523894,0.011010049,0.020070955,-0.15482175,0.08969715,0.11127365,0.2071569,0.0013438093,0.00020014371,0.023534399,34.405193,34.405193
650281339,3407898,3407898,14,47,3,0,0,0,0,0,799.99976,799.99976,6325.8506,6325.8506,0.151818,0.020199612,1.9540105e-09,0.086039044,5.861974,7.5858417,-0.00550003,0.0042269435,-0.042181894,0.018291848,0.07940029,0.07293845,0.0001385921,0.00031431604,0.012082124,34.375263,34.375263
651331343,3407898,3407898,14,47,3,0,0,0,0,0,799.99976,799.99976,6325.859,6325.859,0.07205305,0.012143139,1.1897461e-09,0.31970045,6.091153,7.642261,0.002859167,-0.010599151,0.06933558,0.023462553,0.102181055,0.027119977,5.8917914e-05,8.860663e-05,0.0014806982,34.38974,34.38974
652261343,3407898,3407898,14,47,3,0,0,0,0,0,799.99976,799.99976,6325.8564,6325.8564,0.0536019,0.008443041,8.6243535e-10,0.212446,6.0693297,7.6549335,0.00673433,-0.0072179995,0.058755748,0.009680041,0.08142769,0.025241233,5.6122208e-05,1.794654e-05,0.0003568056,34.404366,34.404366
653311351,3407898,3407898,14,47,3,0,0,0,0,0,799.99976,799.99976,6325.857,6325.857,0.047681194,0.005818148,5.844643e-10,0.2715382,6.0810575,7.637402,0.0031817858,0.005896639,-0.031268653,0.007911995,0.07033501,0.032126013,3.382445e-05,1.3682297e-05,0.0006993222,34.41234,34.41234
