timestamp,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],x,y,z,nav_state,output[0],output[1],output[2],output[3]
630571216,-0.035058998,0.30258614,-9.858639,0.24577405,2.8060439,-0.72720265,2,1013.0,1012.0,1013.0,1012.0
630576187,-0.14663258,-0.25170815,-9.653689,0.24579875,2.8060727,-0.7272029,2,1013.0,1012.0,1013.0,1012.0
630581189,-0.31847847,-0.16153252,-10.015288,0.24579875,2.8060727,-0.7272029,2,1013.0,1012.0,1013.0,1012.0
630586213,0.053514946,-0.47699937,-9.611031,0.24579875,2.8060727,-0.7272029,2,1013.0,1012.0,1013.0,1012.0
630591188,-0.058172442,-0.21536946,-10.12562,0.24579875,2.8060727,-0.7272029,2,1013.0,1012.0,1013.0,1012.0
630596187,-0.20823273,-0.15351157,-9.625523,0.24579875,2.8060727,-0.7272029,2,1013.0,1012.0,1013.0,1012.0
630601215,0.025665024,0.14392026,-9.985823,0.24579875,2.8060727,-0.7272029,2,1013.0,1012.0,1013.0,1012.0
630606187,-0.20723394,-0.10229388,-9.714742,0.24579875,2.8060727,-0.7272029,2,1013.0,1012.0,1013.0,1012.0
630611194,0.036054417,0.54745996,-9.917603,0.24579875,2.8060727,-0.7272029,2,1013.0,1012.0,1013.0,1012.0
630616212,-0.17118004,-0.08172345,-9.86122,0.24579875,2.8060727,-0.7272029,2,1013.0,1012.0,1013.0,1012.0
630621188,-0.0899699,-0.101074025,-9.694734,0.24579875,2.8060727,-0.7272029,2,1013.0,1012.0,1013.0,1012.0
630626188,0.1368475,0.0140550025,-9.984822,0.24579875,2.8060727,-0.7272029,2,1013.0,1012.0,1013.0,1012.0
630631212,-0.1299039,-0.421359,-9.516544,0.24579875,2.8060727,-0.7272029,2,1013.0,1012.0,1013.0,1012.0
630636189,0.0025085856,-0.07293789,-9.94108,0.24579875,2.8060727,-0.7272029,2,1013.0,1012.0,1013.0,1012.0
630641190,-0.25243965,0.67290926,-9.6842575,0.24579875,2.8060727,-0.7272029,2,1013.0,1012.0,1013.0,1012.0
630646211,-0.10932564,-0.083645456,-9.975401,0.24579875,2.8060727,-0.7272029,2,1013.0,1012.0,1013.0,1012.0
630651189,-0.06701522,-0.12356429,-9.76386,0.24579875,2.8060727,-0.7272029,2,1013.0,1012.0,1013.0,1012.0
630656187,0.0028852213,-0.5669049,-9.87992,0.24579875,2.8060727,-0.7272029,2,1013.0,1012.0,1013.0,1012.0
630661213,-0.28434694,-0.36005512,-9.833343,0.24579875,2.8060727,-0.7272029,2,1013.0,1012.0,1013.0,1012.0
630666189,-0.20234956,0.17386086,-9.741054,0.24579875,2.8060727,-0.7272029,2,1013.0,1012.0,1013.0,1012.0
630671188,0.10051109,-0.40405834,-9.904423,0.24579875,2.8060727,-0.7272029,2,1013.0,1012.0,1013.0,1012.0
630676212,-0.19469216,-0.031360276,-9.61402,0.24606219,2.8063178,-0.72711766,2,1033.0,1032.0,1033.0,1032.0
630681189,-0.11145641,-0.19718204,-9.939108,0.24606219,2.8063178,-0.72711766,2,1033.0,1032.0,1033.0,1032.0
630686187,-0.1008465,-0.383595,-9.630873,0.24606219,2.8063178,-0.72711766,2,1033.0,1032.0,1033.0,1032.0
630691213,0.032796208,0.056726225,-9.9048395,0.24606219,2.8063178,-0.72711766,2,1033.0,1032.0,1033.0,1032.0
630696190,-0.04065562,0.030634426,-9.744528,0.24606219,2.8063178,-0.72711766,2,1033.0,1032.0,1033.0,1032.0
630701188,-0.13907844,-0.011185676,-9.787557,0.24606219,2.8063178,-0.72711766,2,1033.0,1032.0,1033.0,1032.0
630706212,-0.11133266,0.3838731,-9.878066,0.24606219,2.8063178,-0.72711766,2,1033.0,1032.0,1033.0,1032.0
630711191,-0.1515868,-0.009339908,-9.784997,0.24606219,2.8063178,-0.72711766,2,1033.0,1032.0,1033.0,1032.0
630716187,-0.13825084,-0.12865949,-9.881119,0.24606219,2.8063178,-0.72711766,2,1033.0,1032.0,1033.0,1032.0
630721213,-0.055282596,0.17353423,-9.859463,0.24606219,2.8063178,-0.72711766,2,1033.0,1032.0,1033.0,1032.0
630726188,0.019372625,-0.26075312,-9.895836,0.24606219,2.8063178,-0.72711766,2,1033.0,1032.0,1033.0,1032.0
630731188,-0.17806144,-0.049997486,-9.688738,0.24606219,2.8063178,-0.72711766,2,1033.0,1032.0,1033.0,1032.0
630736213,-0.06458449,0.092117235,-9.906007,0.24606219,2.8063178,-0.72711766,2,1033.0,1032.0,1033.0,1032.0
630741190,-0.14630388,-0.21381533,-9.712558,0.24606219,2.8063178,-0.72711766,2,1033.0,1032.0,1033.0,1032.0
630746188,-0.11044726,-0.0843336,-9.90522,0.24606219,2.8063178,-0.72711766,2,1033.0,1032.0,1033.0,1032.0
630751213,-0.002887997,-0.44363487,-9.749708,0.24606219,2.8063178,-0.72711766,2,1033.0,1032.0,1033.0,1032.0
630756188,-0.2326176,-0.18445197,-9.72778,0.24606219,2.8063178,-0.72711766,2,1033.0,1032.0,1033.0,1032.0
630761187,-0.06029965,-0.21395986,-9.814989,0.24606219,2.8063178,-0.72711766,2,1033.0,1032.0,1033.0,1032.0
630766212,-0.08943804,-0.2128806,-9.811043,0.24648523,2.8065925,-0.7270214,2,1033.0,1032.0,1033.0,1032.0
630771190,-0.12692316,-0.035057873,-9.846445,0.24648523,2.8065925,-0.7270214,2,1053.0,1052.0,1053.0,1052.0
630776187,-0.08336844,0.047933996,-9.832065,0.24648523,2.8065925,-0.7270214,2,1053.0,1052.0,1053.0,1052.0
630781213,-0.1434439,-0.08867104,-9.789478,0.24648523,2.8065925,-0.7270214,2,1053.0,1052.0,1053.0,1052.0
630786188,-0.101169825,0.13098007,-9.873345,0.24648523,2.8065925,-0.7270214,2,1053.0,1052.0,1053.0,1052.0
630791188,-0.029454557,0.033639137,-9.775415,0.24648523,2.8065925,-0.7270214,2,1053.0,1052.0,1053.0,1052.0
630796213,-0.087006666,-0.01787192,-9.82932,0.24648523,2.8065925,-0.7270214,2,1053.0,1052.0,1053.0,1052.0
630801191,-0.11231612,0.15529203,-9.823566,0.24648523,2.8065925,-0.7270214,2,1053.0,1052.0,1053.0,1052.0
630806187,0.057585016,0.10663061,-9.874801,0.24648523,2.8065925,-0.7270214,2,1053.0,1052.0,1053.0,1052.0
630811217,-0.14669533,-0.03733824,-9.817647,0.24648523,2.8065925,-0.7270214,2,1053.0,1052.0,1053.0,1052.0
630816187,-0.1511602,0.09968397,-9.753287,0.24648523,2.8065925,-0.7270214,2,1053.0,1052.0,1053.0,1052.0
630821188,-0.038718525,-0.1065112,-9.800516,0.24648523,2.8065925,-0.7270214,2,1053.0,1052.0,1053.0,1052.0
630826213,-0.11735099,-0.23616198,-9.763875,0.24648523,2.8065925,-0.7270214,2,1053.0,1052.0,1053.0,1052.0
630831188,-0.084805384,-0.21101801,-9.932165,0.24648523,2.8065925,-0.7270214,2,1053.0,1052.0,1053.0,1052.0
630836188,-0.13515462,-0.3431373,-9.785847,0.24648523,2.8065925,-0.7270214,2,1053.0,1052.0,1053.0,1052.0
630841219,-0.077950485,-0.2062597,-9.896879,0.24648523,2.8065925,-0.7270214,2,1053.0,1052.0,1053.0,1052.0
630846188,-0.026315114,-0.21846125,-9.716771,0.24648523,2.8065925,-0.7270214,2,1053.0,1052.0,1053.0,1052.0
630851188,-0.079257466,-0.1396606,-9.767942,0.24648523,2.8065925,-0.7270214,2,1053.0,1052.0,1053.0,1052.0
630856213,-0.26835567,-0.17615557,-9.817442,0.24648523,2.8065925,-0.7270214,2,1053.0,1052.0,1053.0,1052.0
630861188,0.04103304,-0.20759805,-9.794373,0.24648523,2.8065925,-0.7270214,2,1053.0,1052.0,1053.0,1052.0
630866188,-0.14355399,0.053212877,-9.851178,0.24701755,2.8069897,-0.7268618,2,1053.0,1052.0,1053.0,1052.0
630871220,-0.1133304,-0.060015626,-9.844055,0.24701755,2.8069897,-0.7268618,2,1074.0,1072.0,1074.0,1072.0
630876187,0.025601823,-0.041706137,-9.837941,0.24701755,2.8069897,-0.7268618,2,1074.0,1072.0,1074.0,1072.0
630881188,-0.086145066,0.26252013,-9.737182,0.24701755,2.8069897,-0.7268618,2,1074.0,1072.0,1074.0,1072.0
630886213,-0.12540206,0.11912825,-9.846592,0.24701755,2.8069897,-0.7268618,2,1074.0,1072.0,1074.0,1072.0
630891188,-0.12663215,-0.06880286,-9.767225,0.24701755,2.8069897,-0.7268618,2,1074.0,1072.0,1074.0,1072.0
630896188,-0.1326428,0.038997654,-9.805514,0.24701755,2.8069897,-0.7268618,2,1074.0,1072.0,1074.0,1072.0
630901218,-0.045537926,-0.09023397,-9.803326,0.24701755,2.8069897,-0.7268618,2,1074.0,1072.0,1074.0,1072.0
630906188,-0.18157685,-0.025718782,-9.932366,0.24701755,2.8069897,-0.7268618,2,1074.0,1072.0,1074.0,1072.0
630911190,-0.03215143,0.003747841,-9.786511,0.24701755,2.8069897,-0.7268618,2,1074.0,1072.0,1074.0,1072.0
630916211,-0.035056997,-0.15966493,-9.829496,0.24701755,2.8069897,-0.7268618,2,1074.0,1072.0,1074.0,1072.0
630921188,-0.115163155,-0.15965384,-9.726232,0.24701755,2.8069897,-0.7268618,2,1074.0,1072.0,1074.0,1072.0
630926188,-0.046428014,-0.37847206,-9.803055,0.24701755,2.8069897,-0.7268618,2,1074.0,1072.0,1074.0,1072.0
630931212,-0.1321972,-0.22081366,-9.795742,0.24701755,2.8069897,-0.7268618,2,1074.0,1072.0,1074.0,1072.0
630936188,-0.15954494,-0.16613717,-9.829995,0.24701755,2.8069897,-0.7268618,2,1074.0,1072.0,1074.0,1072.0
630941190,-0.05463876,-0.26580292,-9.867041,0.24701755,2.8069897,-0.7268618,2,1074.0,1072.0,1074.0,1072.0
630946211,-0.060928687,-0.07901586,-9.759203,0.24701755,2.8069897,-0.7268618,2,1074.0,1072.0,1074.0,1072.0
630951188,-0.13948587,-0.022846293,-9.821818,0.24701755,2.8069897,-0.7268618,2,1074.0,1072.0,1074.0,1072.0
630956189,-0.09917653,-0.11042522,-9.745353,0.24701755,2.8069897,-0.7268618,2,1074.0,1072.0,1074.0,1072.0
630961213,-0.13744313,0.117550164,-9.881067,0.24701755,2.8069897,-0.7268618,2,1074.0,1072.0,1074.0,1072.0
630966188,-0.09722781,-0.0029890987,-9.77403,0.24701755,2.8069897,-0.7268618,2,1074.0,1072.0,1074.0,1072.0
630971191,-0.04172752,-0.08371491,-9.816654,0.24701755,2.8069897,-0.7268618,2,1074.0,1072.0,1074.0,1072.0
630976212,-0.09971756,0.19766888,-9.8135805,0.24752502,2.8073347,-0.72610366,2,1095.0,1093.0,1095.0,1093.0
630981188,-0.026281765,0.0735363,-9.777382,0.24752502,2.8073347,-0.72610366,2,1095.0,1093.0,1095.0,1093.0
630986188,-0.17021014,0.07657185,-9.834587,0.24752502,2.8073347,-0.72610366,2,1095.0,1093.0,1095.0,1093.0
630991212,-0.115392946,-0.07103593,-9.813635,0.24752502,2.8073347,-0.72610366,2,1095.0,1093.0,1095.0,1093.0
630996189,-0.15067872,-0.23870435,-9.809492,0.24752502,2.8073347,-0.72610366,2,1095.0,1093.0,1095.0,1093.0
631001190,-0.14090835,0.05426332,-9.8625765,0.24752502,2.8073347,-0.72610366,2,1095.0,1093.0,1095.0,1093.0
631006211,-0.025383415,-0.22461343,-9.752376,0.24752502,2.8073347,-0.72610366,2,1095.0,1093.0,1095.0,1093.0
631011188,-0.023499077,-0.37223172,-9.79321,0.24752502,2.8073347,-0.72610366,2,1095.0,1093.0,1095.0,1093.0
