timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,avoidance_system_required,avoidance_system_valid,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
630506215,630506105,0,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
631010010,630506105,0,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
631515981,630506105,0,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
632021965,630506105,0,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
632528117,630506105,0,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
633034001,630506105,0,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
633539966,630506105,0,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
634045967,630506105,0,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
634551999,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
635058138,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
635563967,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
636069965,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
636575966,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
637081964,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
637588143,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
638093968,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
638599966,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
639105989,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
639611964,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
640118118,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
640623967,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
641129966,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
641635967,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
642141965,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
642648116,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
643153974,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
643659966,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
644165967,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
644671967,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
645178207,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
645683966,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
646189968,630506105,634420197,1103170,2147411071,8307839,0,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
646410625,630506105,634420197,1103170,2147411071,8307839,1,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
646421704,630506105,634420197,1103170,2147411071,8307839,1,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
646926967,630506105,634420197,1103170,2147411071,8307839,1,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
647433088,630506105,634420197,1103170,2147411071,8307839,1,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
647862142,630506105,634420197,1103170,2147411071,8307839,1,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
648367979,630506105,634420197,1103170,2147411071,8307839,1,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
648874947,630506105,634420197,1103170,2147411071,8307839,1,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
649380948,630506105,634420197,1103170,2147411071,8307839,1,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
649888069,630506105,634420197,1103170,2147411071,8307839,1,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
650395947,630506105,634420197,1103170,2147411071,8307839,1,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
650901953,630506105,634420197,1103170,2147411071,8307839,1,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
651408068,630506105,634420197,1103170,2147411071,8307839,1,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
651914217,630506105,634420197,1103170,2147411071,8307839,1,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
652419947,630506105,634420197,1103170,2147411071,8307839,1,2,1,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
652872535,0,0,1103170,2147411071,8307839,1,1,1,8,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
653381969,0,0,1103170,2147411071,8307839,1,1,1,8,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
